"","Incarcerated population by race/ethnicity in Census 2010- total","...2","ID","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","rate_per_100","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"25","0400000US30","30","montana","5,338","3,766","145","1,196","13","0","150","68","284","3,678",NA,"989,415","884,961","4,027","62,555","6,253","668","5,975","24,976","28,565","868,628",NA,540,"426","3,601","1,912","208","0","2,510","272","994","423"
"26","0400000US31","31","nebraska","8,084","5,394","2,032","328","51","2","198","79","1,452","4,226",NA,"1,826,341","1,572,838","82,885","18,427","32,293","1,279","79,109","39,510","167,405","1,499,753",NA,443,"343","2,452","1,780","158","156","250","200","867","282"
"27","0400000US32","32","nevada","19,891","12,015","5,736","426","415","44","924","331","4,553","8,834",NA,"2,700,551","1,786,688","218,626","32,062","195,436","16,871","324,793","126,075","716,501","1,462,081",NA,737,"672","2,624","1,329","212","261","284","263","635","604"
"28","0400000US33","33","new hampshire","4,851","4,288","337","36","24","2","96","68","350","4,079",NA,"1,316,470","1,236,050","15,035","3,150","28,407","384","12,062","21,382","36,704","1,215,050",NA,368,"347","2,241","1,143","84","521","796","318","954","336"
"29","0400000US34","34","new jersey","44,468","16,563","23,999","211","370","48","2,526","751","9,470","11,384",NA,"8,791,894","6,029,248","1,204,826","29,026","725,726","3,043","559,722","240,303","1,555,144","5,214,878",NA,506,"275","1,992","727","51","1,577","451","313","609","218"
"30","0400000US35","35","new mexico","17,907","12,694","1,110","2,020","57","8","1,746","272","9,345","5,494",NA,"2,059,179","1,407,876","42,550","193,222","28,208","1,810","308,503","77,010","953,403","833,810",NA,870,"902","2,609","1,045","202","442","566","353","980","659"
"31","0400000US36","36","new york","95,306","33,918","50,859","758","797","55","8,435","484","20,753","24,794",NA,"19,378,102","12,740,974","3,073,800","106,906","1,420,244","8,766","1,441,563","585,849","3,416,922","11,304,247",NA,492,"266","1,655","709","56","627","585","83","607","219"
"32","0400000US37","37","north carolina","61,680","24,598","34,099","1,078","220","18","1,310","357","3,926","22,207",NA,"9,535,483","6,528,950","2,048,628","122,110","208,962","6,604","414,030","206,199","800,120","6,223,995",NA,647,"377","1,664","883","105","273","316","173","491","357"
"33","0400000US38","38","north dakota","2,489","1,534","133","726","3","5","57","31","139","1,464",NA,"672,591","605,449","7,960","36,591","6,909","320","3,509","11,853","13,467","598,007",NA,370,"253","1,671","1,984","43","1,563","1,624","262","1,032","245"
"34","0400000US39","39","ohio","76,590","41,674","32,877","178","261","13","1,084","503","3,802","39,496",NA,"11,536,504","9,539,437","1,407,681","25,292","192,233","4,066","130,030","237,765","354,674","9,359,263",NA,664,"437","2,336","704","136","320","834","212","1,072","422"
