yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
198301001,1001,AL,Autauga,32057,230.23,NA,NA,NA,NA,NA,NA,NA,158.28,18.73,304.82,NA,NA,NA,NA,NA,388.51,18.73,304.82,0,0,0,0,NA
198301003,1003,AL,Baldwin,83980,294.44,33.18,568.45,NA,NA,NA,NA,NA,187.5,14.45,368.99,NA,NA,NA,NA,NA,481.94,47.629999999999995,937.44,0,0,0,0,NA
198301005,1005,AL,Barbour,24796,410.38,62.67,799.44,NA,NA,NA,NA,NA,231.67,12.53,490.88,NA,NA,NA,NA,NA,642.05,75.2,1290.3200000000002,0,0,0,0,NA
198301007,1007,AL,Bibb,16001,242.18,0,489.8,NA,NA,NA,NA,NA,100.91,0,204.08,NA,NA,NA,NA,NA,343.09000000000003,0,693.88,0,0,0,0,NA
198301009,1009,AL,Blount,36427,202.69,NA,NA,NA,NA,NA,NA,NA,54.89,29.44,110.23,NA,NA,NA,NA,NA,257.58,29.44,110.23,0,0,0,0,NA
198301011,1011,AL,Bullock,10686,371.63,0,779.13,NA,NA,NA,NA,NA,193.89,15.45,389.57,NA,NA,NA,NA,NA,565.52,15.45,1168.7,0,0,0,0,NA
198301013,1013,AL,Butler,22386,357.77,NA,NA,NA,NA,NA,NA,NA,137.02,18.63,289.81,NA,NA,NA,NA,NA,494.78999999999996,18.63,289.81,0,0,0,0,NA
198301015,1015,AL,Calhoun,121249,261.57,36.38,490.37,NA,NA,NA,NA,NA,103.9,21.83,187.28,NA,NA,NA,NA,NA,365.47,58.21,677.65,0,0,0,0,NA
198301017,1017,AL,Chambers,39261,360.98,NA,NA,NA,NA,NA,NA,NA,315.34,78.13,661.96,NA,NA,NA,NA,NA,676.3199999999999,78.13,661.96,0,0,0,0,NA
198301019,1019,AL,Cherokee,19136,217.37,0,438.31,NA,NA,NA,NA,NA,112.71,0,227.27,NA,NA,NA,NA,NA,330.08,0,665.58,0,0,0,0,NA
198301021,1021,AL,Chilton,30735,282.6,40.6,530.7,NA,NA,NA,NA,NA,328.85,24.67,665.97,NA,NA,NA,NA,NA,611.45,65.27000000000001,1196.67,0,0,0,0,NA
198301023,1023,AL,Choctaw,16593,367.25,NA,NA,NA,NA,NA,NA,NA,277.92,0,588.96,NA,NA,NA,NA,NA,645.1700000000001,0,588.96,0,0,0,0,NA
198301025,1025,AL,Clarke,27863,254.33,NA,NA,NA,NA,NA,NA,NA,180.81,0,382.06,NA,NA,NA,NA,NA,435.14,0,382.06,0,0,0,0,NA
198301027,1027,AL,Clay,13760,319.68,0,656.93,NA,NA,NA,NA,NA,236.8,16.37,486.62,NA,NA,NA,NA,NA,556.48,16.37,1143.55,0,0,0,0,NA
198301029,1029,AL,Cleburne,12725,183.73,NA,NA,NA,NA,NA,NA,NA,159.24,0,321.23,NA,NA,NA,NA,NA,342.97,0,321.23,0,0,0,0,NA
198301031,1031,AL,Coffee,40250,209.16,29.93,394.37,NA,NA,NA,NA,NA,167.33,0,347.97,NA,NA,NA,NA,NA,376.49,29.93,742.34,0,0,0,0,NA
198301033,1033,AL,Colbert,53506,292.76,22.06,580.58,NA,NA,NA,NA,NA,51.16,0,105.56,NA,NA,NA,NA,NA,343.91999999999996,22.06,686.1400000000001,0,0,0,0,NA
198301035,1035,AL,Conecuh,15309,375.19,NA,NA,NA,NA,NA,NA,NA,198.63,21.3,389.19,NA,NA,NA,NA,NA,573.8199999999999,21.3,389.19,0,0,0,0,NA
198301037,1037,AL,Coosa,11257,496.45,NA,NA,NA,NA,NA,NA,NA,312.06,28.04,631.46,NA,NA,NA,NA,NA,808.51,28.04,631.46,0,0,0,0,NA
