yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
198901001,1001,AL,Autauga,33996,263.91,NA,NA,NA,NA,NA,NA,NA,148.51,0,313.82,NA,NA,NA,NA,NA,412.42,0,313.82,0,0,0,0,0
198901003,1003,AL,Baldwin,96203,351,51.18,666.53,NA,NA,NA,NA,NA,166.38,18.78,288.59,NA,NA,NA,NA,NA,517.38,69.96000000000001,955.1199999999999,0,0,0,0,0
198901005,1005,AL,Barbour,25337,490.42,NA,NA,NA,NA,NA,NA,NA,172.94,13.58,401.61,NA,NA,NA,NA,NA,663.36,13.58,401.61,0,0,0,0,0
198901007,1007,AL,Bibb,16358,307.13,95.73,519.63,NA,NA,NA,NA,NA,268.74,20.87,935.33,NA,NA,NA,NA,NA,575.87,116.60000000000001,1454.96,0,0,0,0,0
198901009,1009,AL,Blount,38771,246.51,NA,NA,NA,NA,NA,NA,NA,148.69,51.88,210.05,NA,NA,NA,NA,NA,395.2,51.88,210.05,0,0,0,0,0
198901011,1011,AL,Bullock,11171,736.2,0,1468.79,NA,NA,NA,NA,NA,171.78,25.52,275.4,NA,NA,NA,NA,NA,907.98,25.52,1744.19,0,0,0,0,0
198901013,1013,AL,Butler,22038,420.14,NA,NA,NA,NA,NA,NA,NA,224.07,36.22,398.59,NA,NA,NA,NA,NA,644.21,36.22,398.59,0,0,0,0,0
198901015,1015,AL,Calhoun,116378,425,63.11,797.28,NA,NA,NA,NA,NA,329.76,70.91,605.1,NA,NA,NA,NA,NA,754.76,134.01999999999998,1402.38,0,0,0,0,0
198901017,1017,AL,Chambers,37209,456.03,NA,NA,NA,NA,NA,NA,NA,369.16,25.09,587.38,NA,NA,NA,NA,NA,825.19,25.09,587.38,0,0,0,0,0
198901019,1019,AL,Cherokee,19465,305,NA,NA,NA,NA,NA,NA,NA,190.82,36.77,395.73,NA,NA,NA,NA,NA,495.82,36.77,395.73,0,0,0,0,0
