yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
201401001,1001,AL,Autauga,54876,535.65,59.89,1025.15,NA,1347.67,NA,NA,354.37,455.57,136.11,711.44,0,688.17,216.45,471.59,274.81,991.22,196,1736.5900000000001,0,2035.8400000000001,216.45,471.59,355.37
201401003,1003,AL,Baldwin,199189,706.71,119.87,1320.52,0,2665.84,0,0,510.52,578.18,117.53,804.85,263.85,1154.68,890.19,215.83,372.63,1284.8899999999999,237.4,2125.37,263.85,3820.5200000000004,890.19,215.83,511.52
201401005,1005,AL,Barbour,26758,974.69,NA,NA,NA,NA,NA,NA,NA,632.69,105.71,922.21,0,114.03,1171.3,6310.34,1033.53,1607.38,105.71,922.21,0,114.03,1171.3,6310.34,NA
201401007,1007,AL,Bibb,22541,436.94,59.53,731.28,0,584.02,0,0,404.68,472.81,174.13,842.72,0,584.02,1425.77,0,499.1,909.75,233.66,1574,0,1168.04,1425.77,0,405.68
201401009,1009,AL,Blount,57521,330.48,60.69,594.95,NA,1188.46,NA,NA,346.57,365.99,82.76,535.45,0,1867.57,324.89,0,309.77,696.47,143.45,1130.4,0,3056.0299999999997,324.89,0,347.57
201401011,1011,AL,Bullock,10665,798.9,NA,NA,NA,NA,NA,NA,NA,440.77,918.03,451.31,0,460.92,0,0,63.98,1239.67,918.03,451.31,0,460.92,0,0,NA
201401013,1013,AL,Butler,20343,1128.53,262.16,2137.77,NA,1793.03,NA,NA,581.57,603.45,101.95,746.52,0,1144.13,666.67,0,413.22,1731.98,364.11,2884.29,0,2937.16,666.67,0,582.57
201401015,1015,AL,Calhoun,115995,1131.48,201.23,2115.85,NA,2520.51,NA,NA,786.23,652.83,191.55,1285.95,209.06,1248.37,598.8,0,535.69,1784.31,392.78,3401.8,209.06,3768.88,598.8,0,787.23
201401017,1017,AL,Chambers,33980,899,125.37,1711.33,NA,1470.75,NA,NA,515.21,683.42,89.55,1090.74,0,763.02,250,0,523.52,1582.42,214.92000000000002,2802.0699999999997,0,2233.77,250,0,516.21
201401019,1019,AL,Cherokee,25902,742.71,175.31,1297.27,0,1017.81,0,0,745.42,773.66,225.39,1248.32,0,1145.04,921.66,0,725.46,1516.37,400.7,2545.59,0,2162.85,921.66,0,746.42
