yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
201801001,1001,AL,Autauga,55601,NA,NA,NA,NA,NA,NA,NA,NA,454.81,134.73,716.54,0,643.26,188.15,542.48,281.17,454.81,134.73,716.54,0,643.26,188.15,542.48,281.17
201801003,1003,AL,Baldwin,218022,NA,NA,NA,NA,NA,NA,NA,NA,477.31,161.29,853.34,49,1248.49,550.37,0,411.23,477.31,161.29,853.34,49,1248.49,550.37,0,411.23
201801005,1005,AL,Barbour,24881,NA,NA,NA,NA,NA,NA,NA,NA,702.18,115.74,1034.17,0,124.13,1248.05,5304.35,1180.37,702.18,115.74,1034.17,0,124.13,1248.05,5304.35,1180.37
201801007,1007,AL,Bibb,22400,NA,NA,NA,NA,NA,NA,NA,NA,556,226.89,817.6,0,502.79,256.41,0,589.86,556,226.89,817.6,0,502.79,256.41,0,589.86
201801009,1009,AL,Blount,57840,NA,NA,NA,NA,NA,NA,NA,NA,369.2,83.19,542.02,0,1842.55,287.94,0,316.74,369.2,83.19,542.02,0,1842.55,287.94,0,316.74
201801011,1011,AL,Bullock,10138,NA,NA,NA,NA,NA,NA,NA,NA,479.19,1001.07,489.56,0,508.26,0,0,69.83,479.19,1001.07,489.56,0,508.26,0,0,69.83
201801013,1013,AL,Butler,19680,NA,NA,NA,NA,NA,NA,NA,NA,639.22,108.83,783.75,0,1188.36,588.24,0,451.2,639.22,108.83,783.75,0,1188.36,588.24,0,451.2
201801015,1015,AL,Calhoun,114277,NA,NA,NA,NA,NA,NA,NA,NA,673.96,203.63,1335.93,205.95,1277.53,546.65,0,569.79,673.96,203.63,1335.93,205.95,1277.53,546.65,0,569.79
201801017,1017,AL,Chambers,33615,NA,NA,NA,NA,NA,NA,NA,NA,700.91,92,1116.57,0,777.2,213.22,0,547.26,700.91,92,1116.57,0,777.2,213.22,0,547.26
201801019,1019,AL,Cherokee,26032,NA,NA,NA,NA,NA,NA,NA,NA,780.47,225.59,1269.13,0,1146.5,775.19,0,734.75,780.47,225.59,1269.13,0,1146.5,775.19,0,734.75
201801021,1021,AL,Chilton,44153,NA,NA,NA,NA,NA,NA,NA,NA,604.57,255.1,870.99,421.77,938.02,184.25,0,554.58,604.57,255.1,870.99,421.77,938.02,184.25,0,554.58
201801023,1023,AL,Choctaw,12841,NA,NA,NA,NA,NA,NA,NA,NA,345.09,48.66,565.43,0,266.82,656.25,0,183.78,345.09,48.66,565.43,0,266.82,656.25,0,183.78
201801025,1025,AL,Clarke,23920,NA,NA,NA,NA,NA,NA,NA,NA,1340.72,89.01,2735.69,0,1764.04,1572.86,2573.53,1018.52,1340.72,89.01,2735.69,0,1764.04,1572.86,2573.53,1018.52
201801027,1027,AL,Clay,13275,NA,NA,NA,NA,NA,NA,NA,NA,1139.77,355.87,2597.09,0,1854.84,775.19,0,989.22,1139.77,355.87,2597.09,0,1854.84,775.19,0,989.22
201801029,1029,AL,Cleburne,14987,NA,NA,NA,NA,NA,NA,NA,NA,723.85,174.52,1198.63,0,2422.15,900.9,0,632.98,723.85,174.52,1198.63,0,2422.15,900.9,0,632.98
201801031,1031,AL,Coffee,51909,NA,NA,NA,NA,NA,NA,NA,NA,387.82,96.82,625.04,121.73,1136.55,123.46,208.62,200.73,387.82,96.82,625.04,121.73,1136.55,123.46,208.62,200.73
201801033,1033,AL,Colbert,54762,NA,NA,NA,NA,NA,NA,NA,NA,313.94,101.93,549.52,0,982.42,627.78,0,223.98,313.94,101.93,549.52,0,982.42,627.78,0,223.98
201801035,1035,AL,Conecuh,12277,NA,NA,NA,NA,NA,NA,NA,NA,485.04,364.58,2652.15,0,613.15,0,0,442.11,485.04,364.58,2652.15,0,613.15,0,0,442.11
201801037,1037,AL,Coosa,10715,NA,NA,NA,NA,NA,NA,NA,NA,677.77,241.33,1152.07,0,940.44,692.31,0,619.98,677.77,241.33,1152.07,0,940.44,692.31,0,619.98
201801039,1039,AL,Covington,36986,NA,NA,NA,NA,NA,NA,NA,NA,965.95,350.48,1809.63,0,1491.51,852.63,0,948.78,965.95,350.48,1809.63,0,1491.51,852.63,0,948.78
201801041,1041,AL,Crenshaw,13824,NA,NA,NA,NA,NA,NA,NA,NA,581.46,113.56,1382.27,0,835.65,3468.35,0,734.57,581.46,113.56,1382.27,0,835.65,3468.35,0,734.57
201801043,1043,AL,Cullman,83442,NA,NA,NA,NA,NA,NA,NA,NA,676.19,260.88,1081.94,0,3994.85,898.88,0,613.03,676.19,260.88,1081.94,0,3994.85,898.88,0,613.03
201801045,1045,AL,Dale,48956,NA,NA,NA,NA,NA,NA,NA,NA,191.6,44.38,347.45,0,544.72,47.76,0,116.19,191.6,44.38,347.45,0,544.72,47.76,0,116.19
201801047,1047,AL,Dallas,38310,NA,NA,NA,NA,NA,NA,NA,NA,781.81,30.94,1428.7,0,773.23,847.46,0,945.09,781.81,30.94,1428.7,0,773.23,847.46,0,945.09
201801049,1049,AL,DeKalb,71385,NA,NA,NA,NA,NA,NA,NA,NA,523.14,49.36,538.92,0,1164.29,767.52,0,505.48,523.14,49.36,538.92,0,1164.29,767.52,0,505.48
201801051,1051,AL,Elmore,81887,NA,NA,NA,NA,NA,NA,NA,NA,626.51,88.62,762.03,0,834.83,1040.05,0,306.77,626.51,88.62,762.03,0,834.83,1040.05,0,306.77
201801053,1053,AL,Escambia,36748,NA,NA,NA,NA,NA,NA,NA,NA,891.1,128.13,1038.98,0,1138.78,554.53,170.19,653.45,891.1,128.13,1038.98,0,1138.78,554.53,170.19,653.45
201801055,1055,AL,Etowah,102501,NA,NA,NA,NA,NA,NA,NA,NA,1452.59,398.41,2521.61,3030.3,2448.57,4387.94,0,898.96,1452.59,398.41,2521.61,3030.3,2448.57,4387.94,0,898.96
201801057,1057,AL,Fayette,16433,NA,NA,NA,NA,NA,NA,NA,NA,634.86,276.95,935.14,0,2066.77,534.76,0,396.04,634.86,276.95,935.14,0,2066.77,534.76,0,396.04
201801059,1059,AL,Franklin,31363,NA,NA,NA,NA,NA,NA,NA,NA,350.29,200.3,861.73,0,478.47,169.54,0,353.35,350.29,200.3,861.73,0,478.47,169.54,0,353.35
201801061,1061,AL,Geneva,26314,NA,NA,NA,NA,NA,NA,NA,NA,423.55,97.53,692.38,0,655.15,309.12,0,290.78,423.55,97.53,692.38,0,655.15,309.12,0,290.78
201801063,1063,AL,Greene,8233,NA,NA,NA,NA,NA,NA,NA,NA,122.75,156.31,1073.42,0,629.56,0,0,122.7,122.75,156.31,1073.42,0,629.56,0,0,122.7
201801065,1065,AL,Hale,14726,NA,NA,NA,NA,NA,NA,NA,NA,441.84,83.39,798.87,0,571.64,691.67,0,202.31,441.84,83.39,798.87,0,571.64,691.67,0,202.31
201801067,1067,AL,Henry,17209,NA,NA,NA,NA,NA,NA,NA,NA,452.01,94.06,865.8,0,857.34,967.74,0,296.28,452.01,94.06,865.8,0,857.34,967.74,0,296.28
201801069,1069,AL,Houston,104722,NA,NA,NA,NA,NA,NA,NA,NA,553.39,197.78,1086.55,0,1106.11,448.23,0,445.41,553.39,197.78,1086.55,0,1106.11,448.23,0,445.41
201801071,1071,AL,Jackson,51736,NA,NA,NA,NA,NA,NA,NA,NA,583.18,310.45,1442.55,0,1962.39,449.2,0,514.31,583.18,310.45,1442.55,0,1962.39,449.2,0,514.31
201801073,1073,AL,Jefferson,659300,NA,NA,NA,NA,NA,NA,NA,NA,382.07,91.64,673.94,10.9,518.56,87.15,0,262.85,382.07,91.64,673.94,10.9,518.56,87.15,0,262.85
201801075,1075,AL,Lamar,13844,NA,NA,NA,NA,NA,NA,NA,NA,806.45,141.98,832.14,0,711.38,0,0,495.39,806.45,141.98,832.14,0,711.38,0,0,495.39
201801077,1077,AL,Lauderdale,92387,NA,NA,NA,NA,NA,NA,NA,NA,514.18,122.57,685.43,170.52,1174.63,61.2,0,453.16,514.18,122.57,685.43,170.52,1174.63,61.2,0,453.16
201801079,1079,AL,Lawrence,32957,NA,NA,NA,NA,NA,NA,NA,NA,740.46,244.52,1262.14,0,966.39,230.95,0,799.61,740.46,244.52,1262.14,0,966.39,230.95,0,799.61
201801081,1081,AL,Lee,163941,NA,NA,NA,NA,NA,NA,NA,NA,384.43,135.54,649.66,0,903.27,240.62,819.67,248.75,384.43,135.54,649.66,0,903.27,240.62,819.67,248.75
201801083,1083,AL,Limestone,96174,NA,NA,NA,NA,NA,NA,NA,NA,354.14,76.98,533.09,84.53,603.95,437.11,0,339.73,354.14,76.98,533.09,84.53,603.95,437.11,0,339.73
201801085,1085,AL,Lowndes,9974,NA,NA,NA,NA,NA,NA,NA,NA,338.06,61.58,438.6,0,282.36,0,0,138.79,338.06,61.58,438.6,0,282.36,0,0,138.79
201801087,1087,AL,Macon,18439,NA,NA,NA,NA,NA,NA,NA,NA,82.3,60.57,486.75,0,504.85,0,0,209.31,82.3,60.57,486.75,0,504.85,0,0,209.31
201801089,1089,AL,Madison,366519,NA,NA,NA,NA,NA,NA,NA,NA,371.3,58.78,712.22,51.4,713.93,278.6,0,275.18,371.3,58.78,712.22,51.4,713.93,278.6,0,275.18
201801091,1091,AL,Marengo,19066,NA,NA,NA,NA,NA,NA,NA,NA,519.72,113.23,1224.12,0,718.39,240.68,0,156.71,519.72,113.23,1224.12,0,718.39,240.68,0,156.71
