yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
197701001,1001,AL,Autauga,30457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
197701003,1003,AL,Baldwin,72395,NA,NA,NA,NA,NA,NA,NA,NA,261.18,9.78,520.56,NA,NA,NA,NA,NA,261.18,9.78,520.56,0,0,0,0,NA
197701005,1005,AL,Barbour,24687,NA,NA,NA,NA,NA,NA,NA,NA,282.37,11.08,593.02,NA,NA,NA,NA,NA,282.37,11.08,593.02,0,0,0,0,NA
197701007,1007,AL,Bibb,15254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
197701009,1009,AL,Blount,34222,NA,NA,NA,NA,NA,NA,NA,NA,199.49,9.1,387.94,NA,NA,NA,NA,NA,199.49,9.1,387.94,0,0,0,0,NA
197701011,1011,AL,Bullock,11016,NA,NA,NA,NA,NA,NA,NA,NA,271.87,0,589.46,NA,NA,NA,NA,NA,271.87,0,589.46,0,0,0,0,NA
197701013,1013,AL,Butler,20877,NA,NA,NA,NA,NA,NA,NA,NA,270.45,27.16,542.63,NA,NA,NA,NA,NA,270.45,27.16,542.63,0,0,0,0,NA
197701015,1015,AL,Calhoun,112796,NA,NA,NA,NA,NA,NA,NA,NA,195.21,15.96,379.48,NA,NA,NA,NA,NA,195.21,15.96,379.48,0,0,0,0,NA
197701017,1017,AL,Chambers,38367,NA,NA,NA,NA,NA,NA,NA,NA,173.48,14.21,351.22,NA,NA,NA,NA,NA,173.48,14.21,351.22,0,0,0,0,NA
197701019,1019,AL,Cherokee,18429,NA,NA,NA,NA,NA,NA,NA,NA,226.99,0,459.33,NA,NA,NA,NA,NA,226.99,0,459.33,0,0,0,0,NA
197701021,1021,AL,Chilton,29306,NA,NA,NA,NA,NA,NA,NA,NA,193.99,12.04,383.15,NA,NA,NA,NA,NA,193.99,12.04,383.15,0,0,0,0,NA
197701023,1023,AL,Choctaw,17327,NA,NA,NA,NA,NA,NA,NA,NA,344.01,0,716.44,NA,NA,NA,NA,NA,344.01,0,716.44,0,0,0,0,NA
197701025,1025,AL,Clarke,28222,NA,NA,NA,NA,NA,NA,NA,NA,206.8,0,431.11,NA,NA,NA,NA,NA,206.8,0,431.11,0,0,0,0,NA
197701027,1027,AL,Clay,13318,NA,NA,NA,NA,NA,NA,NA,NA,247.54,0,511.07,NA,NA,NA,NA,NA,247.54,0,511.07,0,0,0,0,NA
197701029,1029,AL,Cleburne,12088,NA,NA,NA,NA,NA,NA,NA,NA,245.19,0,497.33,NA,NA,NA,NA,NA,245.19,0,497.33,0,0,0,0,NA
