yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
198501001,1001,AL,Autauga,32248,279.41,NA,NA,NA,NA,NA,NA,NA,144.91,11.09,262.29,NA,NA,NA,NA,NA,424.32000000000005,11.09,262.29,0,0,0,0,0
198501003,1003,AL,Baldwin,89403,282.48,37.89,539.64,NA,NA,NA,NA,NA,134.48,14.4,260.73,NA,NA,NA,NA,NA,416.96000000000004,52.29,800.37,0,0,0,0,0
198501005,1005,AL,Barbour,25001,464.33,NA,NA,NA,NA,NA,NA,NA,117.72,12.46,234,NA,NA,NA,NA,NA,582.05,12.46,234,0,0,0,0,0
198501007,1007,AL,Bibb,16156,286.14,NA,NA,NA,NA,NA,NA,NA,118.4,0,238.95,NA,NA,NA,NA,NA,404.53999999999996,0,238.95,0,0,0,0,0
198501009,1009,AL,Blount,37417,183.64,NA,NA,NA,NA,NA,NA,NA,98.76,36.59,152.38,NA,NA,NA,NA,NA,282.4,36.59,152.38,0,0,0,0,0
198501011,1011,AL,Bullock,10779,446.36,0,919.84,NA,NA,NA,NA,NA,153.04,21.68,292.38,NA,NA,NA,NA,NA,599.4,21.68,1212.22,0,0,0,0,0
198501013,1013,AL,Butler,22425,311.48,NA,NA,NA,NA,NA,NA,NA,205.12,14.4,418.01,NA,NA,NA,NA,NA,516.6,14.4,418.01,0,0,0,0,0
198501015,1015,AL,Calhoun,118646,340.61,46.92,640.51,NA,NA,NA,NA,NA,162.45,26.18,301.59,NA,NA,NA,NA,NA,503.06,73.1,942.0999999999999,0,0,0,0,0
198501017,1017,AL,Chambers,38613,310.69,NA,NA,NA,NA,NA,NA,NA,331.68,104.52,579.96,NA,NA,NA,NA,NA,642.37,104.52,579.96,0,0,0,0,0
198501019,1019,AL,Cherokee,18891,202.64,0,408.16,NA,NA,NA,NA,NA,142.66,12.88,293.88,NA,NA,NA,NA,NA,345.29999999999995,12.88,702.04,0,0,0,0,0
198501021,1021,AL,Chilton,31560,303.18,49.13,563.27,NA,NA,NA,NA,NA,154.08,29.48,281.63,NA,NA,NA,NA,NA,457.26,78.61,844.9,0,0,0,0,0
198501023,1023,AL,Choctaw,16708,370.15,NA,NA,NA,NA,NA,NA,NA,233.78,0,469.04,NA,NA,NA,NA,NA,603.93,0,469.04,0,0,0,0,0
198501025,1025,AL,Clarke,27420,344.77,NA,NA,NA,NA,NA,NA,NA,182.19,0,386.32,NA,NA,NA,NA,NA,526.96,0,386.32,0,0,0,0,0
198501027,1027,AL,Clay,13701,329.49,NA,NA,NA,NA,NA,NA,NA,176.51,23,337.27,NA,NA,NA,NA,NA,506,23,337.27,0,0,0,0,0
198501029,1029,AL,Cleburne,12659,195.31,0,393.41,NA,NA,NA,NA,NA,129.39,0,309.81,NA,NA,NA,NA,NA,324.7,0,703.22,0,0,0,0,0
198501031,1031,AL,Coffee,40386,263.92,NA,NA,NA,NA,NA,NA,NA,161.37,0,353.08,NA,NA,NA,NA,NA,425.29,0,353.08,0,0,0,0,0
198501033,1033,AL,Colbert,52860,296.48,27.95,581.43,NA,NA,NA,NA,NA,71.39,0,144.76,NA,NA,NA,NA,NA,367.87,27.95,726.1899999999999,0,0,0,0,0
198501035,1035,AL,Conecuh,15029,402.82,0,837.21,NA,NA,NA,NA,NA,237.22,12.94,451.16,NA,NA,NA,NA,NA,640.04,12.94,1288.3700000000001,0,0,0,0,0
198501037,1037,AL,Coosa,11033,487.87,0,985.22,NA,NA,NA,NA,NA,292.72,39.8,498.41,NA,NA,NA,NA,NA,780.59,39.8,1483.63,0,0,0,0,0
198501039,1039,AL,Covington,37151,454.21,41.96,892.7,NA,NA,NA,NA,NA,207.64,25.18,401.71,NA,NA,NA,NA,NA,661.8499999999999,67.14,1294.41,0,0,0,0,0
198501041,1041,AL,Crenshaw,13902,274.92,0,570.72,NA,NA,NA,NA,NA,141.05,0,342.43,NA,NA,NA,NA,NA,415.97,0,913.1500000000001,0,0,0,0,0
198501043,1043,AL,Cullman,65040,327.62,32.83,629.87,NA,NA,NA,NA,NA,171.41,16.88,324.07,NA,NA,NA,NA,NA,499.03,49.709999999999994,953.94,0,0,0,0,0
198501045,1045,AL,Dale,48454,257.83,25.99,465.36,NA,NA,NA,NA,NA,162.07,25.99,323.02,NA,NA,NA,NA,NA,419.9,51.98,788.38,0,0,0,0,0
198501047,1047,AL,Dallas,52885,446.48,69.52,887.05,NA,NA,NA,NA,NA,276.63,28.97,574.21,NA,NA,NA,NA,NA,723.11,98.49,1461.26,0,0,0,0,0
198501049,1049,AL,DeKalb,53921,144.9,NA,NA,NA,NA,NA,NA,NA,124.61,5.69,250.19,NA,NA,NA,NA,NA,269.51,5.69,250.19,0,0,0,0,0
198501051,1051,AL,Elmore,45570,282.6,NA,NA,NA,NA,NA,NA,NA,96.42,6.81,181.81,NA,NA,NA,NA,NA,379.02000000000004,6.81,181.81,0,0,0,0,0
198501053,1053,AL,Escambia,37343,326.37,NA,NA,NA,NA,NA,NA,NA,154.82,18.67,307.08,NA,NA,NA,NA,NA,481.19,18.67,307.08,0,0,0,0,0
198501055,1055,AL,Etowah,102287,367.61,32.3,726.94,NA,NA,NA,NA,NA,148.56,13.8,292.35,NA,NA,NA,NA,NA,516.1700000000001,46.099999999999994,1019.2900000000001,0,0,0,0,0
198501057,1057,AL,Fayette,19149,350.06,0,714.77,NA,NA,NA,NA,NA,195.03,6.53,343.77,NA,NA,NA,NA,NA,545.09,6.53,1058.54,0,0,0,0,0
198501059,1059,AL,Franklin,28698,353.38,NA,NA,NA,NA,NA,NA,NA,200.07,4.24,374.87,NA,NA,NA,NA,NA,553.45,4.24,374.87,0,0,0,0,0
198501061,1061,AL,Geneva,24026,213.32,NA,NA,NA,NA,NA,NA,NA,166.66,26.21,312.03,NA,NA,NA,NA,NA,379.98,26.21,312.03,0,0,0,0,0
198501063,1063,AL,Greene,10797,525.71,0,1158.58,NA,NA,NA,NA,NA,154.43,0,412.74,NA,NA,NA,NA,NA,680.1400000000001,0,1571.32,0,0,0,0,0
198501065,1065,AL,Hale,15027,240.99,NA,NA,NA,NA,NA,NA,NA,348.86,0,737.46,NA,NA,NA,NA,NA,589.85,0,737.46,0,0,0,0,0
198501067,1067,AL,Henry,15260,384.41,82.19,711.43,NA,NA,NA,NA,NA,153.76,28.77,289.02,NA,NA,NA,NA,NA,538.1700000000001,110.96,1000.4499999999999,0,0,0,0,0
198501069,1069,AL,Houston,78038,770.32,87.32,1511.03,NA,NA,NA,NA,NA,297.86,45.56,566.53,NA,NA,NA,NA,NA,1068.18,132.88,2077.56,0,0,0,0,0
198501071,1071,AL,Jackson,49501,159.34,NA,NA,NA,NA,NA,NA,NA,99.28,4.82,192,NA,NA,NA,NA,NA,258.62,4.82,192,0,0,0,0,0
198501073,1073,AL,Jefferson,658986,418.24,36.77,843.24,NA,NA,NA,NA,NA,134.63,22.25,261.7,NA,NA,NA,NA,NA,552.87,59.02,1104.94,0,0,0,0,0
198501075,1075,AL,Lamar,16528,309.21,NA,NA,NA,NA,NA,NA,NA,264.76,5.69,492.22,NA,NA,NA,NA,NA,573.97,5.69,492.22,0,0,0,0,0
198501077,1077,AL,Lauderdale,80487,332.51,54.32,628.86,NA,NA,NA,NA,NA,83.31,6.52,169.37,NA,NA,NA,NA,NA,415.82,60.84,798.23,0,0,0,0,0
198501079,1079,AL,Lawrence,31147,364.24,59.29,675.27,NA,NA,NA,NA,NA,146.69,18.77,296.31,NA,NA,NA,NA,NA,510.93,78.06,971.5799999999999,0,0,0,0,0
198501081,1081,AL,Lee,81173,494.8,71.91,903.58,NA,NA,NA,NA,NA,238.65,39.38,438.22,NA,NA,NA,NA,NA,733.45,111.28999999999999,1341.8000000000002,0,0,0,0,0
198501083,1083,AL,Limestone,49353,115.4,NA,NA,NA,NA,NA,NA,NA,179.17,18.34,352.4,NA,NA,NA,NA,NA,294.57,18.34,352.4,0,0,0,0,0
198501085,1085,AL,Lowndes,12719,338.29,NA,NA,NA,NA,NA,NA,NA,238.16,15.02,544.76,NA,NA,NA,NA,NA,576.45,15.02,544.76,0,0,0,0,0
198501087,1087,AL,Macon,25379,236.92,NA,NA,NA,NA,NA,NA,NA,180.81,68.3,265.01,NA,NA,NA,NA,NA,417.73,68.3,265.01,0,0,0,0,0
198501089,1089,AL,Madison,215240,357.59,43.32,676.35,NA,NA,NA,NA,NA,213.89,32.82,405.54,NA,NA,NA,NA,NA,571.48,76.14,1081.89,0,0,0,0,0
198501091,1091,AL,Marengo,24236,439.5,65.42,852.72,NA,NA,NA,NA,NA,373.58,3.93,786.24,NA,NA,NA,NA,NA,813.0799999999999,69.35000000000001,1638.96,0,0,0,0,0
198501093,1093,AL,Marion,30809,167.03,0,335.16,NA,NA,NA,NA,NA,130.59,4.04,282.35,NA,NA,NA,NA,NA,297.62,4.04,617.51,0,0,0,0,0
