yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
201701001,1001,AL,Autauga,55443,NA,NA,NA,NA,NA,NA,NA,NA,453.9,135.14,711.4,0,645.16,195.5,557.05,279.87,453.9,135.14,711.4,0,645.16,195.5,557.05,NA
201701003,1003,AL,Baldwin,212619,NA,NA,NA,NA,NA,NA,NA,NA,476.27,160.46,796.73,460.36,1266.4,624.73,220.75,369.36,476.27,160.46,796.73,460.36,1266.4,624.73,220.75,NA
201701005,1005,AL,Barbour,25158,NA,NA,NA,NA,NA,NA,NA,NA,690.04,113.19,1020.18,0,123.05,1199.4,5545.45,1150.23,690.04,113.19,1020.18,0,123.05,1199.4,5545.45,NA
201701007,1007,AL,Bibb,22555,NA,NA,NA,NA,NA,NA,NA,NA,502.71,134.93,710.23,0,655.38,997.51,0,411,502.71,134.93,710.23,0,655.38,997.51,0,NA
201701009,1009,AL,Blount,57827,NA,NA,NA,NA,NA,NA,NA,NA,367.77,82.88,539.89,0,1851.85,294.64,0,314.36,367.77,82.88,539.89,0,1851.85,294.64,0,NA
201701011,1011,AL,Bullock,10176,NA,NA,NA,NA,NA,NA,NA,NA,473.86,984.18,486.18,0,501.36,0,0,69.01,473.86,984.18,486.18,0,501.36,0,0,NA
201701013,1013,AL,Butler,19898,NA,NA,NA,NA,NA,NA,NA,NA,626.58,106.35,770.98,0,1170.51,591.72,0,439.81,626.58,106.35,770.98,0,1170.51,591.72,0,NA
201701015,1015,AL,Calhoun,114664,NA,NA,NA,NA,NA,NA,NA,NA,669.59,199.24,1319.39,200,1268.58,570.13,0,557.88,669.59,199.24,1319.39,200,1268.58,570.13,0,NA
201701017,1017,AL,Chambers,33758,NA,NA,NA,NA,NA,NA,NA,NA,696.16,91.15,1111.96,0,771.98,223.71,0,542.17,696.16,91.15,1111.96,0,771.98,223.71,0,NA
201701019,1019,AL,Cherokee,25815,NA,NA,NA,NA,NA,NA,NA,NA,785.13,227.07,1275.96,0,1179.55,829.88,0,737.83,785.13,227.07,1275.96,0,1179.55,829.88,0,NA
201701021,1021,AL,Chilton,44117,NA,NA,NA,NA,NA,NA,NA,NA,603.54,256.17,864.39,407.89,939.28,187.27,0,552.63,603.54,256.17,864.39,407.89,939.28,187.27,0,NA
201701023,1023,AL,Choctaw,12935,NA,NA,NA,NA,NA,NA,NA,NA,342.42,48.29,561.05,0,262.16,666.67,0,183.61,342.42,48.29,561.05,0,262.16,666.67,0,NA
201701025,1025,AL,Clarke,24097,NA,NA,NA,NA,NA,NA,NA,NA,1324.02,87.57,2713.23,0,1746.05,1638.74,2464.79,1002.08,1324.02,87.57,2713.23,0,1746.05,1638.74,2464.79,NA
201701027,1027,AL,Clay,13367,NA,NA,NA,NA,NA,NA,NA,NA,1128.67,352.2,2573.35,0,1831.21,738.01,0,982.55,1128.67,352.2,2573.35,0,1831.21,738.01,0,NA
201701029,1029,AL,Cleburne,14906,NA,NA,NA,NA,NA,NA,NA,NA,724.48,283.35,1373.39,0,2614.38,3333.33,0,714.78,724.48,283.35,1373.39,0,2614.38,3333.33,0,NA
201701031,1031,AL,Coffee,51777,NA,NA,NA,NA,NA,NA,NA,NA,387.23,96.95,622.28,126.6,1131.33,128.98,204.44,199.52,387.23,96.95,622.28,126.6,1131.33,128.98,204.44,NA
201701033,1033,AL,Colbert,54509,NA,NA,NA,NA,NA,NA,NA,NA,314.07,102.11,548.96,0,973.69,679.09,0,223.85,314.07,102.11,548.96,0,973.69,679.09,0,NA
201701035,1035,AL,Conecuh,12435,NA,NA,NA,NA,NA,NA,NA,NA,475.81,357.51,2602.74,0,594.76,0,0,437.88,475.81,357.51,2602.74,0,594.76,0,0,NA
201701037,1037,AL,Coosa,10757,NA,NA,NA,NA,NA,NA,NA,NA,668.99,238.73,1134.75,0,932.09,705.88,0,610.17,668.99,238.73,1134.75,0,932.09,705.88,0,NA
201701039,1039,AL,Covington,37078,NA,NA,NA,NA,NA,NA,NA,NA,958.57,346.62,1802.13,0,1482.31,880.43,0,940.6,958.57,346.62,1802.13,0,1482.31,880.43,0,NA
