yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
198001001,1001,AL,Autauga,32217,NA,NA,NA,NA,NA,NA,NA,NA,160.83,0,329.62,NA,NA,NA,NA,NA,160.83,0,329.62,0,0,0,0,NA
198001003,1003,AL,Baldwin,78949,NA,NA,NA,NA,NA,NA,NA,NA,230.36,11.62,459.4,NA,NA,NA,NA,NA,230.36,11.62,459.4,0,0,0,0,NA
198001005,1005,AL,Barbour,24739,NA,NA,NA,NA,NA,NA,NA,NA,281.63,12.52,594.54,NA,NA,NA,NA,NA,281.63,12.52,594.54,0,0,0,0,NA
198001007,1007,AL,Bibb,15745,NA,NA,NA,NA,NA,NA,NA,NA,185.98,0,378.48,NA,NA,NA,NA,NA,185.98,0,378.48,0,0,0,0,NA
198001009,1009,AL,Blount,36536,NA,NA,NA,NA,NA,NA,NA,NA,139.6,16.93,275.66,NA,NA,NA,NA,NA,139.6,16.93,275.66,0,0,0,0,NA
198001011,1011,AL,Bullock,10601,NA,NA,NA,NA,NA,NA,NA,NA,256.16,6.13,545.13,NA,NA,NA,NA,NA,256.16,6.13,545.13,0,0,0,0,NA
198001013,1013,AL,Butler,21772,NA,NA,NA,NA,NA,NA,NA,NA,225.69,25.4,457.71,NA,NA,NA,NA,NA,225.69,25.4,457.71,0,0,0,0,NA
198001015,1015,AL,Calhoun,120025,NA,NA,NA,NA,NA,NA,NA,NA,158.56,19.19,299.47,NA,NA,NA,NA,NA,158.56,19.19,299.47,0,0,0,0,NA
198001017,1017,AL,Chambers,39228,NA,NA,NA,NA,NA,NA,NA,NA,237.72,40.92,490.56,NA,NA,NA,NA,NA,237.72,40.92,490.56,0,0,0,0,NA
198001019,1019,AL,Cherokee,18887,NA,NA,NA,NA,NA,NA,NA,NA,194.4,0,392.94,NA,NA,NA,NA,NA,194.4,0,392.94,0,0,0,0,NA
