yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
199901001,1001,AL,Autauga,42963,721.91,96.29,1378.36,0,2355.42,0,0,405.11,362.71,82.53,764.96,0,1364.67,0,0,225.55,1084.62,178.82,2143.3199999999997,0,3720.09,0,0,406.11
199901003,1003,AL,Baldwin,137555,649.23,86.64,1230.74,NA,2875.5,NA,NA,402.52,440.34,71.09,849.58,453.2,1982.35,504.41,0,276.16,1089.57,157.73000000000002,2080.32,453.2,4857.85,504.41,0,403.52
199901005,1005,AL,Barbour,28866,784.87,91.73,1373.87,0,1320.06,0,0,353.68,426.68,137.6,682.06,0,764.24,668.9,3260.87,111.16,1211.55,229.32999999999998,2055.93,0,2084.3,668.9,3260.87,354.68
199901007,1007,AL,Bibb,20560,261.57,NA,NA,0,691.7,0,0,141.04,290.63,31.15,490.26,0,658.76,0,0,169.25,552.2,31.15,490.26,0,1350.46,0,0,142.04
199901009,1009,AL,Blount,50237,388.25,60.92,707.83,0,2949.06,0,0,378.52,261.84,79.2,446.11,0,3485.25,545.33,0,214.92,650.0899999999999,140.12,1153.94,0,6434.3099999999995,545.33,0,379.52
199901011,1011,AL,Bullock,11755,1181.26,146.58,2019.96,NA,1574.8,NA,NA,NA,367.5,87.95,594.11,0,501.07,0,0,0,1548.76,234.53000000000003,2614.07,0,2075.87,0,0,NA
199901013,1013,AL,Butler,21605,731.56,71.06,1462.26,0,1488.7,0,0,215.49,298.6,99.49,581.76,0,643.26,0,0,114.08,1030.1599999999999,170.55,2044.02,0,2131.96,0,0,216.49
199901015,1015,AL,Calhoun,114910,715.75,56.24,1402.04,0,2150.23,0,0,411.01,452.39,84.37,792.81,161.03,1196.96,83.26,0,267.4,1168.1399999999999,140.61,2194.85,161.03,3347.19,83.26,0,412.01
199901017,1017,AL,Chambers,36527,1173.82,126.61,2277.58,NA,2384.42,NA,NA,407.64,563.09,118.17,880.78,0,861.97,746.27,0,250.3,1736.9099999999999,244.78,3158.3599999999997,0,3246.3900000000003,746.27,0,408.64
199901019,1019,AL,Cherokee,23605,419.84,141.37,701.21,0,1573.03,0,0,352.94,290.66,77.11,597.33,0,674.16,20930.23,0,193.77,710.5,218.48000000000002,1298.54,0,2247.19,20930.23,0,353.94
199901021,1021,AL,Chilton,38862,506.22,101.88,911.73,0,2781.04,0,0,260.86,255.07,31.35,558.04,0,1520.56,0,0,151.12,761.29,133.23,1469.77,0,4301.6,0,0,261.86
199901023,1023,AL,Choctaw,15931,636.26,NA,NA,0,1149.68,0,0,243.86,342.6,37.49,778.53,0,586.11,2941.18,0,226.44,978.86,37.49,778.53,0,1735.79,2941.18,0,244.86
199901025,1025,AL,Clarke,27919,666.93,119.23,1263.73,NA,1326.08,NA,NA,169.58,356.07,32.52,519.66,0,556.96,0,0,49.88,1023,151.75,1783.3899999999999,0,1883.04,0,0,170.58
199901027,1027,AL,Clay,14174,873.51,88.3,1661.5,NA,2667.58,NA,NA,521.81,442.28,22.08,797.52,0,941.86,0,0,308.13,1315.79,110.38,2459.02,0,3609.44,0,0,522.81
199901029,1029,AL,Cleburne,14039,462.17,NA,NA,0,1807.23,0,0,417.89,279.45,0,382.33,0,301.2,1041.67,0,180.71,741.62,0,382.33,0,2108.43,1041.67,0,418.89
199901031,1031,AL,Coffee,43667,630.95,48.69,1215.93,0,2565.58,0,0,212.96,296.3,48.69,559.05,0,1148.77,0,0,122.34,927.25,97.38,1774.98,0,3714.35,0,0,213.96
199901033,1033,AL,Colbert,54715,698.57,82.16,1351.12,0,2242.15,0,0,404.75,194.36,32.87,376.92,0,534.67,1193.75,0,137.2,892.9300000000001,115.03,1728.04,0,2776.82,1193.75,0,405.75
199901035,1035,AL,Conecuh,14158,1181.9,172.04,2290.98,0,2143.42,0,0,475.15,393.97,21.51,779.4,0,543.53,0,0,266.48,1575.8700000000001,193.54999999999998,3070.38,0,2686.95,0,0,476.15
199901037,1037,AL,Coosa,12135,830.61,NA,NA,0,1324.74,0,0,566.3,604.08,51.89,782.01,0,644.47,0,0,214.8,1434.69,51.89,782.01,0,1969.21,0,0,567.3
199901039,1039,AL,Covington,37843,958.51,115.67,1831.56,0,3619.44,0,0,596.86,454.03,49.57,847.31,0,1551.19,0,0,291.15,1412.54,165.24,2678.87,0,5170.63,0,0,597.86
199901041,1041,AL,Crenshaw,13584,435.45,NA,NA,0,1044.14,0,0,236.82,188.3,44.96,419.86,0,522.07,0,0,126.3,623.75,44.96,419.86,0,1566.21,0,0,237.82
199901043,1043,AL,Cullman,77065,461.84,71.85,846.56,NA,3522.5,NA,NA,435.84,216.06,19.96,425.25,0,1819.96,208.99,0,216.11,677.9,91.81,1271.81,0,5342.46,208.99,0,436.84
199901045,1045,AL,Dale,49118,506.52,61.98,947.98,0,1620.33,0,0,254.47,129.72,37.19,203.14,0,428.91,102.04,0,45.15,636.24,99.16999999999999,1151.12,0,2049.24,102.04,0,255.47
199901047,1047,AL,Dallas,46722,1208.03,119.6,2496.65,0,1725.08,0,0,354.38,644.96,56.65,1304.22,0,868,0,0,276.42,1852.99,176.25,3800.87,0,2593.08,0,0,355.38
199901049,1049,AL,DeKalb,63593,428.3,52.46,806.68,0,3483.31,0,0,401.23,217.74,38.16,456.16,0,1683.6,254.19,0,219.36,646.04,90.62,1262.84,0,5166.91,254.19,0,402.23
199901051,1051,AL,Elmore,64668,566.64,113.64,985.85,0,1646.57,0,0,274.25,375.49,66.29,573.98,0,859.99,218.82,0,184.82,942.13,179.93,1559.83,0,2506.56,218.82,0,275.25
199901053,1053,AL,Escambia,38336,773.82,108.24,1368.23,0,1647.66,0,0,406.7,436.01,58.28,795.66,0,950.57,0,125.94,230.67,1209.83,166.51999999999998,2163.89,0,2598.23,0,125.94,407.7
199901055,1055,AL,Etowah,104002,1044.49,169.1,1959.47,0,3743.54,0,0,598.67,563.22,119.54,1057.44,0,799.28,100.91,0,241.42,1607.71,288.64,3016.91,0,4542.82,100.91,0,599.67
199901057,1057,AL,Fayette,18496,511.44,83.5,942.92,NA,1955.1,NA,NA,315.49,352.14,16.7,724.03,0,1158.58,1271.43,0,267.69,863.5799999999999,100.2,1666.9499999999998,0,3113.68,1271.43,0,316.49
