yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
197101001,1001,AL,Autauga,25503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197101003,1003,AL,Baldwin,60147,NA,NA,NA,NA,NA,NA,NA,NA,216.04,11.12,402.39,NA,NA,NA,NA,NA,216.04,11.12,402.39,0,0,0,0,0
197101005,1005,AL,Barbour,23089,NA,NA,NA,NA,NA,NA,NA,NA,88.77,1.65,190.72,NA,NA,NA,NA,NA,88.77,1.65,190.72,0,0,0,0,0
197101007,1007,AL,Bibb,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197101009,1009,AL,Blount,27817,NA,NA,NA,NA,NA,NA,NA,NA,161.28,11.43,265.61,NA,NA,NA,NA,NA,161.28,11.43,265.61,0,0,0,0,0
197101011,1011,AL,Bullock,11403,NA,NA,NA,NA,NA,NA,NA,NA,178.37,0,386.64,NA,NA,NA,NA,NA,178.37,0,386.64,0,0,0,0,0
197101013,1013,AL,Butler,21844,NA,NA,NA,NA,NA,NA,NA,NA,119.09,3.73,250.21,NA,NA,NA,NA,NA,119.09,3.73,250.21,0,0,0,0,0
197101015,1015,AL,Calhoun,103629,NA,NA,NA,NA,NA,NA,NA,NA,138.74,2.56,268.52,NA,NA,NA,NA,NA,138.74,2.56,268.52,0,0,0,0,0
197101017,1017,AL,Chambers,36271,NA,NA,NA,NA,NA,NA,NA,NA,89.31,2.16,187.42,NA,NA,NA,NA,NA,89.31,2.16,187.42,0,0,0,0,0
197101019,1019,AL,Cherokee,16530,NA,NA,NA,NA,NA,NA,NA,NA,78.57,0,159.91,NA,NA,NA,NA,NA,78.57,0,159.91,0,0,0,0,0
197101021,1021,AL,Chilton,25636,NA,NA,NA,NA,NA,NA,NA,NA,127.46,23.85,236.38,NA,NA,NA,NA,NA,127.46,23.85,236.38,0,0,0,0,0
197101023,1023,AL,Choctaw,16508,NA,NA,NA,NA,NA,NA,NA,NA,190.94,0,397.16,NA,NA,NA,NA,NA,190.94,0,397.16,0,0,0,0,0
197101025,1025,AL,Clarke,25873,NA,NA,NA,NA,NA,NA,NA,NA,33.85,0,70.82,NA,NA,NA,NA,NA,33.85,0,70.82,0,0,0,0,0
197101027,1027,AL,Clay,12931,NA,NA,NA,NA,NA,NA,NA,NA,72.17,0,149.2,NA,NA,NA,NA,NA,72.17,0,149.2,0,0,0,0,0
197101029,1029,AL,Cleburne,11170,NA,NA,NA,NA,NA,NA,NA,NA,240.92,0,491.6,NA,NA,NA,NA,NA,240.92,0,491.6,0,0,0,0,0
197101031,1031,AL,Coffee,36406,NA,NA,NA,NA,NA,NA,NA,NA,58.9,1.03,112.38,NA,NA,NA,NA,NA,58.9,1.03,112.38,0,0,0,0,0
197101033,1033,AL,Colbert,50382,NA,NA,NA,NA,NA,NA,NA,NA,75.8,0,151.85,NA,NA,NA,NA,NA,75.8,0,151.85,0,0,0,0,0
197101035,1035,AL,Conecuh,15779,NA,NA,NA,NA,NA,NA,NA,NA,190.14,38.35,314.03,NA,NA,NA,NA,NA,190.14,38.35,314.03,0,0,0,0,0
197101037,1037,AL,Coosa,10710,NA,NA,NA,NA,NA,NA,NA,NA,114.9,53.68,180.33,NA,NA,NA,NA,NA,114.9,53.68,180.33,0,0,0,0,0
197101039,1039,AL,Covington,34612,NA,NA,NA,NA,NA,NA,NA,NA,121.51,1.09,238.46,NA,NA,NA,NA,NA,121.51,1.09,238.46,0,0,0,0,0
197101041,1041,AL,Crenshaw,13357,NA,NA,NA,NA,NA,NA,NA,NA,190.06,0,400.75,NA,NA,NA,NA,NA,190.06,0,400.75,0,0,0,0,0
