yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
200201001,1001,AL,Autauga,45909,779.16,110.54,1468.81,0,2557.04,0,0,435.32,394.53,120.29,724.35,0,1247.84,206.61,316.46,248.01,1173.69,230.83,2193.16,0,3804.88,206.61,316.46,683.3299999999999
200201003,1003,AL,Baldwin,147957,729.72,84.43,1397.08,0,3302.37,0,0,451.46,564.3,133.85,1051.01,190.21,2265.22,338.45,150.22,402.31,1294.02,218.28,2448.09,190.21,5567.59,338.45,150.22,853.77
200201005,1005,AL,Barbour,28653,1076.22,115.66,1867.56,NA,1784.11,NA,NA,482.43,483.26,115.66,771.8,0,791.07,579.15,3784.09,167.8,1559.48,231.32,2639.3599999999997,0,2575.18,579.15,3784.09,650.23
200201007,1007,AL,Bibb,21199,445.67,60.68,782.08,0,1050.62,0,0,278.86,353.71,83.43,695.92,0,811.84,2209.94,0,264.92,799.38,144.11,1478,0,1862.46,2209.94,0,543.78
200201009,1009,AL,Blount,52551,347.16,29.3,657.07,NA,2237.14,NA,NA,341.33,282.07,82.04,497.09,0,1677.85,283.07,0,275.57,629.23,111.34,1154.16,0,3914.99,283.07,0,616.9
200201011,1011,AL,Bullock,11256,940.61,185.64,1520.19,0,1231.99,0,0,284.25,382.96,479.58,522.57,0,672.86,0,0,113.7,1323.57,665.22,2042.7600000000002,0,1904.85,0,0,397.95
200201013,1013,AL,Butler,20803,850.51,73.3,1701.44,0,1759.64,0,0,225.34,371.62,102.62,650.08,0,664.55,0,0,159.07,1222.13,175.92000000000002,2351.52,0,2424.19,0,0,384.40999999999997
200201015,1015,AL,Calhoun,111625,921.45,113.3,1764.32,0,2536.03,0,0,564.23,575.74,97.49,971.47,229.33,1232.69,329.48,0,366.92,1497.19,210.79,2735.79,229.33,3768.7200000000003,329.48,0,931.1500000000001
200201017,1017,AL,Chambers,35965,1100.68,145.49,2104.51,NA,1925.88,NA,NA,576.03,570.08,102.7,966.81,0,901.35,443.48,0,284.32,1670.7600000000002,248.19,3071.32,0,2827.23,443.48,0,860.3499999999999
200201019,1019,AL,Cherokee,24403,525.3,62.66,986.02,0,1520.47,0,0,476.57,547.18,125.33,879.93,0,2573.1,8098.59,0,315.48,1072.48,187.99,1865.9499999999998,0,4093.5699999999997,8098.59,0,792.05
