yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
197301001,1001,AL,Autauga,28453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
197301003,1003,AL,Baldwin,64201,NA,NA,NA,NA,NA,NA,NA,NA,233.84,10.64,447.81,NA,NA,NA,NA,NA,233.84,10.64,447.81,0,0,0,0,NA
197301005,1005,AL,Barbour,23453,NA,NA,NA,NA,NA,NA,NA,NA,158.86,5.12,336.39,NA,NA,NA,NA,NA,158.86,5.12,336.39,0,0,0,0,NA
197301007,1007,AL,Bibb,14657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
197301009,1009,AL,Blount,30359,NA,NA,NA,NA,NA,NA,NA,NA,174.16,10.43,309.57,NA,NA,NA,NA,NA,174.16,10.43,309.57,0,0,0,0,NA
197301011,1011,AL,Bullock,11274,NA,NA,NA,NA,NA,NA,NA,NA,209.17,0,452.96,NA,NA,NA,NA,NA,209.17,0,452.96,0,0,0,0,NA
197301013,1013,AL,Butler,21237,NA,NA,NA,NA,NA,NA,NA,NA,170.26,11.49,348.84,NA,NA,NA,NA,NA,170.26,11.49,348.84,0,0,0,0,NA
197301015,1015,AL,Calhoun,105032,NA,NA,NA,NA,NA,NA,NA,NA,162.77,7.51,315.64,NA,NA,NA,NA,NA,162.77,7.51,315.64,0,0,0,0,NA
197301017,1017,AL,Chambers,36948,NA,NA,NA,NA,NA,NA,NA,NA,118.89,6.37,245.1,NA,NA,NA,NA,NA,118.89,6.37,245.1,0,0,0,0,NA
197301019,1019,AL,Cherokee,17239,NA,NA,NA,NA,NA,NA,NA,NA,132.22,0,267.98,NA,NA,NA,NA,NA,132.22,0,267.98,0,0,0,0,NA
