yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
199201001,1001,AL,Autauga,35985,407.73,41.01,793.17,NA,1379.64,0,0,202.64,251.37,8.2,282.78,0,385.35,0,0,91.45,659.1,49.209999999999994,1075.9499999999998,0,1764.9900000000002,0,0,203.64
199201003,1003,AL,Baldwin,106595,467.49,49.05,904.95,NA,1850.67,NA,NA,292.09,204.97,28.16,397.85,396.04,574.35,1397.85,0,103.86,672.46,77.21,1302.8000000000002,396.04,2425.02,1397.85,0,293.09
199201005,1005,AL,Barbour,26941,512.79,NA,NA,NA,908.47,0,0,219.94,172.11,52.17,489,0,278.18,948.05,2658.54,30.16,684.9,52.17,489,0,1186.65,948.05,2658.54,220.94
199201007,1007,AL,Bibb,17403,416.33,NA,NA,NA,1005.94,0,0,275.88,274.6,24.46,565.64,0,649.29,0,0,203.05,690.9300000000001,24.46,565.64,0,1655.23,0,0,276.88
199201009,1009,AL,Blount,40822,255.98,29.68,482.23,NA,3418.8,0,0,217.54,107.59,63.45,194.38,0,706.55,0,0,103.05,363.57,93.13,676.61,0,4125.35,0,0,218.54
199201011,1011,AL,Bullock,11125,696.81,NA,NA,NA,952.99,NA,NA,NA,397.33,10.29,593.72,0,347.31,0,0,0,1094.1399999999999,10.29,593.72,0,1300.3,0,0,NA
199201013,1013,AL,Butler,21794,488.45,59.08,962.95,NA,1083.9,0,0,114.33,241.9,56.42,458.46,0,387.19,0,0,82.7,730.35,115.5,1421.41,0,1471.0900000000001,0,0,115.33
199201015,1015,AL,Calhoun,115804,524.74,68.66,993.72,NA,1728.41,0,0,273.69,344.76,54.32,656.38,143.78,1004.96,377.6,0,212.84,869.5,122.97999999999999,1650.1,143.78,2733.37,377.6,0,274.69
199201017,1017,AL,Chambers,37045,811.24,75.54,1598.42,NA,1766.61,0,0,273.32,498.89,75.54,835.13,0,1105.64,0,0,68.33,1310.13,151.08,2433.55,0,2872.25,0,0,274.32
199201019,1019,AL,Cherokee,20181,428.76,104.96,754.72,NA,1551.31,0,0,355.47,215.13,51.73,434.72,0,715.99,0,0,187.43,643.89,156.69,1189.44,0,2267.3,0,0,356.47
199201021,1021,AL,Chilton,33503,401.64,64.1,744.88,NA,2764.16,0,0,129.82,260.38,19.14,554.93,0,1551.49,0,0,129.82,662.02,83.24,1299.81,0,4315.65,0,0,130.82
199201023,1023,AL,Choctaw,16206,303.68,NA,NA,NA,558.53,0,0,118.87,254.7,13.71,569.44,0,404.93,0,0,176.6,558.38,13.71,569.44,0,963.46,0,0,119.87
199201025,1025,AL,Clarke,27522,548.34,177.96,947.92,NA,1151.36,0,0,128.75,208.72,19.24,378.09,0,345.41,0,0,51.5,757.0600000000001,197.20000000000002,1326.01,0,1496.77,0,0,129.75
199201027,1027,AL,Clay,13425,389.98,0,789.1,NA,1030.17,0,0,268.74,238.71,15.65,717.36,0,575.42,0,0,205.52,628.69,15.65,1506.46,0,1605.5900000000001,0,0,269.74
199201029,1029,AL,Cleburne,12850,225.55,NA,NA,NA,NA,NA,NA,223.8,187.56,0,340.51,0,481.93,3500,0,156.66,413.11,0,340.51,0,481.93,3500,0,224.8
199201031,1031,AL,Coffee,41469,566.33,87.27,1050.08,NA,2694.35,NA,NA,144.87,359.53,48.51,474.89,0,1377.21,0,0,164.97,925.86,135.78,1524.9699999999998,0,4071.56,0,0,145.87
199201033,1033,AL,Colbert,52827,401.56,39.66,783.59,NA,1270.79,NA,NA,240.12,113.48,10.31,251.23,0,284.06,2024.59,0,91.87,515.04,49.97,1034.82,0,1554.85,2024.59,0,241.12
199201035,1035,AL,Conecuh,14233,745.4,134.29,1408.45,NA,1382.89,NA,NA,295.92,172.37,8.06,646.92,0,260.73,0,0,101.6,917.77,142.35,2055.37,0,1643.6200000000001,0,0,296.92
199201037,1037,AL,Coosa,11177,442.23,NA,NA,NA,732.9,0,0,294.43,345.49,109.83,500.83,0,570.03,0,0,168.24,787.72,109.83,500.83,0,1302.9299999999998,0,0,295.43
199201039,1039,AL,Covington,36950,712.15,84.77,1371.08,NA,2625.13,0,0,444.8,247.51,61.63,520.39,0,718.59,0,0,234.24,959.66,146.4,1891.4699999999998,0,3343.7200000000003,0,0,445.8
199201041,1041,AL,Crenshaw,13511,487.69,NA,NA,NA,1265.21,0,0,228.83,141.43,0,279.19,0,175.18,0,0,120.95,629.12,0,279.19,0,1440.39,0,0,229.83
199201043,1043,AL,Cullman,69908,329.86,48.12,614.66,NA,1243.78,0,0,324.85,169.33,20.25,332.85,0,457.71,0,0,177.55,499.19000000000005,68.37,947.51,0,1701.49,0,0,325.85
199201045,1045,AL,Dale,49833,385.89,36.86,717.16,NA,1413.68,NA,NA,178.66,121.75,30.72,222.55,NA,NA,NA,NA,NA,507.64,67.58,939.71,0,1413.68,0,0,179.66
199201047,1047,AL,Dallas,47940,990.07,120.17,2018.09,NA,1535.98,0,0,260.76,446.73,32.76,1003.44,0,696.93,0,0,138.36,1436.8000000000002,152.93,3021.5299999999997,0,2232.91,0,0,261.76
199201049,1049,AL,DeKalb,56883,277.63,26.6,535.52,NA,NA,NA,NA,279.07,138.01,35.8,265.79,0,656.63,0,0,107.11,415.64,62.4,801.31,0,656.63,0,0,280.07
199201051,1051,AL,Elmore,52514,372.34,35.34,682,NA,1196.78,0,0,136.59,143.86,52.49,261.98,0,375.41,0,0,73.1,516.2,87.83000000000001,943.98,0,1572.19,0,0,137.59
199201053,1053,AL,Escambia,36320,591.79,77.92,1082.02,NA,1498.13,0,0,248.05,343.24,27.53,745.02,0,904.57,0,50.78,184.11,935.03,105.45,1827.04,0,2402.7000000000003,0,50.78,249.05
199201055,1055,AL,Etowah,100950,789.59,162.33,1453.01,NA,2759.02,NA,NA,485.83,172.44,58.2,668.7,0,373.78,0,0,115.35,962.03,220.53000000000003,2121.71,0,3132.8,0,0,486.83
199201057,1057,AL,Fayette,18192,408.09,NA,NA,NA,1947.57,0,0,207.26,314.32,17.09,638.9,0,1333.33,1951.22,0,175.68,722.41,17.09,638.9,0,3280.8999999999996,1951.22,0,208.26
199201059,1059,AL,Franklin,28678,486.99,42.29,953.23,NA,2481.39,NA,NA,393.95,254.32,10.57,469.19,0,660.05,0,0,201.14,741.31,52.86,1422.42,0,3141.4399999999996,0,0,394.95
199201061,1061,AL,Geneva,24208,501.99,102.89,912.22,NA,2181.6,NA,NA,289.53,241.22,26.88,383.4,0,1014.15,987.65,0,83.15,743.21,129.77,1295.62,0,3195.75,987.65,0,290.53
199201063,1063,AL,Greene,10271,717.74,NA,NA,NA,767.26,0,NA,540.96,337.17,0,904.37,NA,494.46,0,NA,92.74,1054.91,0,904.37,0,1261.72,0,0,541.96
199201065,1065,AL,Hale,15945,190.64,0,407.24,NA,314.17,NA,NA,NA,177.93,0,411.76,0,306.78,0,0,40.14,368.57,0,819,0,620.95,0,0,NA
199201067,1067,AL,Henry,15665,675.19,159.2,1221.05,NA,1490.27,0,0,264.63,175.96,17.11,364.84,0,264.9,0,0,57.44,851.1500000000001,176.31,1585.8899999999999,0,1755.17,0,0,265.63
199201069,1069,AL,Houston,83763,1233.57,180.56,2378.02,NA,4249.79,NA,NA,388.62,505.23,67.27,881.18,371.17,1324.39,402.48,0,217.24,1738.8,247.82999999999998,3259.2,371.17,5574.18,402.48,0,389.62
199201071,1071,AL,Jackson,49247,353.22,29.98,686.84,NA,1537.22,0,0,315.41,176.61,25.06,291.38,0,782.36,0,0,142.84,529.83,55.04,978.22,0,2319.58,0,0,316.41
199201073,1073,AL,Jefferson,660713,704.24,83.94,1391.03,NA,1591.69,NA,NA,238.36,295.14,65.88,540.36,0,634.13,165.27,0,106.06,999.38,149.82,1931.3899999999999,0,2225.82,165.27,0,239.36
199201075,1075,AL,Lamar,15650,319.62,NA,NA,NA,1036.27,0,0,227.32,295.65,50,561.89,0,593.26,0,0,235.62,615.27,50,561.89,0,1629.53,0,0,228.32
199201077,1077,AL,Lauderdale,82347,376.82,42.9,730.15,NA,1728.93,0,0,241.52,124.63,35.43,301.14,0,385.53,0,0,125.26,501.45,78.33,1031.29,0,2114.46,0,0,242.52
199201079,1079,AL,Lawrence,32335,364.83,46.57,685.83,NA,804.02,0,0,317.03,206.74,22.82,385.19,0,576.21,1159.42,0,136.21,571.5699999999999,69.39,1071.02,0,1380.23,1159.42,0,318.03
199201081,1081,AL,Lee,91572,774.01,111.32,1425.45,NA,2654.15,NA,NA,306.32,240.71,59.36,489.15,73.94,953.72,208.68,0,97.71,1014.72,170.68,1914.6,73.94,3607.87,208.68,0,307.32
199201083,1083,AL,Limestone,57121,203.23,NA,NA,NA,648.33,0,0,138.21,254.17,70,480.04,0,813.36,0,0,166.45,457.4,70,480.04,0,1461.69,0,0,139.21
