yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
199501001,1001,AL,Autauga,39112,562.06,68.08,1081.17,NA,1988.38,0,0,268.16,262.31,43.2,466.41,0,840.71,0,0,117.75,824.3699999999999,111.28,1547.5800000000002,0,2829.09,0,0,385.91
199501003,1003,AL,Baldwin,120896,533.77,53.45,1031.72,NA,2138.1,0,0,337.11,304.46,57.22,624.1,0,1378.67,192.68,0,181.29,838.23,110.67,1655.8200000000002,0,3516.77,192.68,0,518.4
199501005,1005,AL,Barbour,27854,869.61,141.64,1529.08,NA,1489.71,0,0,381.64,263.69,90.06,577.42,0,441.99,1104.35,3472.73,57.45,1133.3,231.7,2106.5,0,1931.7,1104.35,3472.73,439.09
199501007,1007,AL,Bibb,18507,346.16,NA,NA,NA,803.86,0,0,229.36,285.75,28.12,476.11,0,616.16,0,0,159.82,631.9100000000001,28.12,476.11,0,1420.02,0,0,389.18
199501009,1009,AL,Blount,44060,302.92,62.31,540.84,NA,2593.66,NA,NA,278.71,159.48,72.35,289.79,0,1749.28,468.42,0,141.75,462.4,134.66,830.6300000000001,0,4342.94,468.42,0,420.46
199501011,1011,AL,Bullock,11431,1136.36,151.47,1985.89,NA,1523.74,NA,NA,NA,280.58,0,313.56,0,214.89,0,0,51.49,1416.9399999999998,151.47,2299.4500000000003,0,1738.63,0,0,51.49
199501013,1013,AL,Butler,21825,486.06,NA,NA,NA,937.98,0,0,190.02,263.31,74.94,510.15,0,473.58,0,0,91.97,749.37,74.94,510.15,0,1411.56,0,0,281.99
199501015,1015,AL,Calhoun,116790,627.18,78.5,1187.92,NA,1956.48,0,0,345.26,390.39,64.55,710.86,50.08,1084.57,92.51,0,211.88,1017.5699999999999,143.05,1898.7800000000002,50.08,3041.05,92.51,0,557.14
199501017,1017,AL,Chambers,37179,1098.9,125,2133.5,NA,2320.77,0,0,373.01,480.77,92.83,1006.29,0,1168.08,1176.47,0,108.24,1579.67,217.82999999999998,3139.79,0,3488.85,1176.47,0,481.25
199501019,1019,AL,Cherokee,21871,341.34,NA,NA,NA,692.84,0,0,320.99,243.82,63.12,494.47,0,770.21,12500,0,184.16,585.16,63.12,494.47,0,1463.0500000000002,12500,0,505.15
