yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
200601001,1001,AL,Autauga,51328,746.64,132.76,1383.73,0,2412.65,0,0,404.72,443.87,144.3,760.75,0,1089.85,317.97,662.16,295.19,1190.51,277.06,2144.48,0,3502.5,317.97,662.16,405.72
200601003,1003,AL,Baldwin,168121,637.28,64.9,1231.45,NA,2807.47,NA,NA,421.3,642.1,157.75,1184.1,236.69,2471.69,301.01,249.69,479.07,1279.38,222.65,2415.55,236.69,5279.16,301.01,249.69,422.3
200601005,1005,AL,Barbour,27861,1446,118.57,2503.78,0,2402.73,0,0,632.14,473.24,94.85,869.24,0,737.13,578.41,5545.45,317.4,1919.24,213.42,3373.0200000000004,0,3139.86,578.41,5545.45,633.14
200601007,1007,AL,Bibb,22099,490,58.57,846.23,0,905.49,0,0,373.33,405.58,136.16,838.97,0,838.14,3044,0,358.93,895.5799999999999,194.73,1685.2,0,1743.63,3044,0,374.33
200601009,1009,AL,Blount,55485,283.45,33.26,530.03,0,1237.11,0,0,292.07,306.15,83.16,540.95,0,643.3,164.06,0,325.19,589.5999999999999,116.41999999999999,1070.98,0,1880.4099999999999,164.06,0,293.07
200601011,1011,AL,Bullock,10776,1261.66,NA,NA,0,1650.67,0,0,376.18,466.26,874.73,464.43,0,779.65,0,0,226.96,1727.92,874.73,464.43,0,2430.32,0,0,377.18
200601013,1013,AL,Butler,20815,658.09,86.43,1290.22,0,1280,0,0,203.94,325.26,100.84,700.86,0,708.98,105.26,0,224.34,983.35,187.27,1991.08,0,1988.98,105.26,0,204.94
200601015,1015,AL,Calhoun,115388,965.27,151.66,1816.16,0,2329.82,0,0,643.89,583.91,146.1,1131.2,242.72,1589.55,558.38,0,373.37,1549.1799999999998,297.76,2947.36,242.72,3919.37,558.38,0,644.89
200601017,1017,AL,Chambers,34945,1103.01,130.32,2123.2,0,1899.02,0,0,595.74,588.77,86.88,1057.04,0,917.34,348.99,0,340.79,1691.78,217.2,3180.24,0,2816.36,348.99,0,596.74
200601019,1019,AL,Cherokee,25466,384.82,84.88,679.87,0,1041.67,0,0,354.95,595.27,121.26,1097.33,0,4166.67,3105.59,0,393.68,980.0899999999999,206.14,1777.1999999999998,0,5208.34,3105.59,0,355.95
200601021,1021,AL,Chilton,42318,818.47,135.62,1503.33,0,3601.93,0,0,558.78,768.43,299.79,1231.3,0,3861.86,745.76,0,419.08,1586.9,435.41,2734.63,0,7463.79,745.76,0,559.78
200601023,1023,AL,Choctaw,14431,692.34,0,1419.07,0,1127.91,0,0,340,320.42,42.25,465.63,0,257.98,1098.04,0,230,1012.76,42.25,1884.6999999999998,0,1385.89,1098.04,0,341
200601025,1025,AL,Clarke,26755,630.73,89.04,1228.8,NA,1143.92,NA,NA,224.62,589.85,133.56,1093.63,0,931.1,0,5000,299.5,1220.58,222.60000000000002,2322.4300000000003,0,2075.02,0,5000,225.62
200601027,1027,AL,Clay,14053,992.97,88.01,1923.95,NA,2833.45,NA,NA,650.43,1126.85,330.03,2421.91,0,3101.59,472.57,0,999.86,2119.8199999999997,418.03999999999996,4345.86,0,5935.04,472.57,0,651.43
200601029,1029,AL,Cleburne,14538,1047.45,256.08,1810.33,NA,4477.61,NA,NA,925.93,785.59,271.02,1470.89,0,3695.52,707.69,0,778.11,1833.04,527.0999999999999,3281.2200000000003,0,8173.129999999999,707.69,0,926.93
200601031,1031,AL,Coffee,46228,891.18,105.98,1671.05,NA,2894.79,NA,NA,499.73,528.11,99.36,953.95,0,1614.4,71.48,504.78,318.42,1419.29,205.34,2625,0,4509.1900000000005,71.48,504.78,500.73
200601033,1033,AL,Colbert,54413,675.27,99.26,1280.57,0,1812.59,0,0,464.11,315.37,99.26,533.09,0,974.69,998.26,0,188.44,990.64,198.52,1813.6599999999999,0,2787.2799999999997,998.26,0,465.11
200601035,1035,AL,Conecuh,13603,984.82,112.31,1914.33,0,1665.83,0,0,419.43,1167.3,314.47,2273.27,0,1460.88,0,0,932.67,2152.12,426.78000000000003,4187.6,0,3126.71,0,0,420.43
200601037,1037,AL,Coosa,11451,1188.28,186.22,2175.62,0,1801.06,0,0,931.55,1071.03,133.01,2123.2,0,2456,0,0,526.53,2259.31,319.23,4298.82,0,4257.0599999999995,0,0,932.55
200601039,1039,AL,Covington,37441,1511.44,232.17,2838.47,NA,4593.4,NA,NA,1097.6,814.83,281.92,1565.46,0,1942.16,689.66,0,772.52,2326.27,514.09,4403.93,0,6535.5599999999995,689.66,0,1098.6
200601041,1041,AL,Crenshaw,13880,540.66,NA,NA,0,780.89,0,0,480.25,506.87,110.86,984.43,0,780.89,0,0,480.25,1047.53,110.86,984.43,0,1561.78,0,0,481.25
200601043,1043,AL,Cullman,79044,563.77,117.28,999.47,0,1337.79,0,0,581.15,373.6,138.78,563.44,0,2257.53,391.21,38.83,329.7,937.37,256.06,1562.91,0,3595.32,391.21,38.83,582.15
200601045,1045,AL,Dale,49077,577.12,43.76,1102.76,0,1627.84,0,0,328.29,204.78,43.76,332.68,0,423.84,72.73,0,136.43,781.9,87.52,1435.44,0,2051.68,72.73,0,329.29
200601047,1047,AL,Dallas,44323,814.78,58.65,1698.53,0,1081.19,0,0,270.67,597.04,26.07,1195.83,0,760.21,123.76,0,209.99,1411.82,84.72,2894.3599999999997,0,1841.4,123.76,0,271.67
200601049,1049,AL,DeKalb,68495,515.94,54.2,975.46,0,3133.9,0,0,537.41,369.76,45.17,507.96,0,1703.7,319.67,0,310.14,885.7,99.37,1483.42,0,4837.6,319.67,0,538.41
200601051,1051,AL,Elmore,75246,565.99,69.37,1061.62,0,1449.92,0,0,335.9,433.16,100.21,753.9,0,897.35,715.68,0,294.49,999.1500000000001,169.57999999999998,1815.52,0,2347.27,715.68,0,336.9
200601053,1053,AL,Escambia,37673,794.41,102.43,1402.32,NA,1549.91,NA,NA,461.78,617.25,119.5,967.38,0,1301.92,92.23,144.28,274.18,1411.6599999999999,221.93,2369.7,0,2851.83,92.23,144.28,462.78
200601055,1055,AL,Etowah,103528,1214.09,182.69,2284.7,NA,3274.92,NA,NA,874.66,1209.66,350.89,2149.24,5537.96,1654.22,21295.25,817.84,522.7,2423.75,533.5799999999999,4433.94,5537.96,4929.14,21295.25,817.84,875.66
