yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
199001001,1001,AL,Autauga,34353,312.38,42.93,595.61,NA,901.78,0,0,185.3,208.54,8.59,382.64,0,648.31,0,0,91.56,520.92,51.519999999999996,978.25,0,1550.09,0,0,186.3
199001003,1003,AL,Baldwin,98955,417.44,49.52,804.77,NA,1595.11,NA,NA,260.02,180.86,22.19,329.47,246.91,465.24,800,0,89.25,598.3,71.71000000000001,1134.24,246.91,2060.35,800,0,261.02
199001005,1005,AL,Barbour,25505,610.22,NA,NA,NA,1215.01,0,0,186.61,175.44,26.83,447.02,0,332.36,580.65,1896.55,32.27,785.6600000000001,26.83,447.02,0,1547.37,580.65,1896.55,187.61
199001007,1007,AL,Bibb,16697,446.35,NA,NA,NA,1095.07,0,0,298.51,269.67,21.92,804.47,0,826.28,0,0,312.28,716.02,21.92,804.47,0,1921.35,0,0,299.51
199001009,1009,AL,Blount,39473,267.51,38.14,497.82,NA,1988.64,NA,NA,243,133.76,55.45,203.72,0,636.36,0,0,113.66,401.27,93.59,701.54,0,2625,0,0,244
199001011,1011,AL,Bullock,11032,818.41,NA,NA,NA,1135.86,NA,NA,NA,253.24,20.86,398.28,0,249.44,0,0,0,1071.65,20.86,398.28,0,1385.3,0,0,NA
199001013,1013,AL,Butler,21886,428.65,NA,NA,NA,859.95,0,0,164.54,230.69,43.03,420.99,0,381.65,0,0,85.56,659.3399999999999,43.03,420.99,0,1241.6,0,0,165.54
199001015,1015,AL,Calhoun,116118,457.74,57.95,869.68,NA,1539.13,NA,NA,228.35,381.28,48.32,687.95,165.29,1103.28,118.06,0,205.35,839.02,106.27000000000001,1557.63,165.29,2642.41,118.06,0,229.35
199001017,1017,AL,Chambers,36884,579.44,41.97,1159.32,NA,1277.17,0,0,197.09,444.39,58.76,860.43,0,871.91,0,0,210.68,1023.83,100.72999999999999,2019.75,0,2149.08,0,0,198.09
199001019,1019,AL,Cherokee,19643,354.45,0,712.74,NA,1564.38,NA,NA,256.96,198.8,41.85,409.05,0,481.35,0,0,195.62,553.25,41.85,1121.79,0,2045.73,0,0,257.96
199001021,1021,AL,Chilton,32550,286.26,NA,NA,NA,1551.8,0,0,139.47,234.73,14.66,431.35,0,931.08,0,0,134.11,520.99,14.66,431.35,0,2482.88,0,0,140.47
199001023,1023,AL,Choctaw,15994,346.98,0,725.54,NA,521.33,0,0,222.56,218.1,6.84,443.62,0,289.1,0,0,157.51,565.08,6.84,1169.1599999999999,0,810.4300000000001,0,0,223.56
199001025,1025,AL,Clarke,27289,402.36,123.85,701.58,NA,827.63,0,0,109.64,189.34,15.31,345.23,0,282.53,0,0,75.75,591.7,139.16,1046.81,0,1110.1599999999999,0,0,110.64
199001027,1027,AL,Clay,13284,261.97,0,533.85,NA,675.68,0,0,184.76,173.85,7.72,509.59,0,443.69,0,0,160.18,435.82000000000005,7.72,1043.44,0,1119.37,0,0,185.76
199001029,1029,AL,Cleburne,12724,227.74,0,455.74,NA,NA,NA,NA,213.76,136.64,0,316.62,0,231.21,4080,0,148.37,364.38,0,772.36,0,231.21,4080,0,214.76
199001031,1031,AL,Coffee,40293,473.06,59.63,892.59,NA,2173.41,0,0,152.11,244.79,24.82,373.15,0,962.37,0,0,116.25,717.85,84.45,1265.74,0,3135.7799999999997,0,0,153.11
199001033,1033,AL,Colbert,51876,371.5,45.96,714.72,NA,818.89,0,0,292.21,109.09,5.23,230.16,0,220.91,2000,0,88.72,480.59000000000003,51.19,944.88,0,1039.8,2000,0,293.21
199001035,1035,AL,Conecuh,14042,830.76,91.18,1634.07,NA,1722.09,0,0,239.86,242.11,4.1,614.51,0,357.19,0,0,131.32,1072.87,95.28,2248.58,0,2079.2799999999997,0,0,240.86
199001037,1037,AL,Coosa,11071,407.07,NA,NA,NA,582.85,0,0,319.35,575.52,0,511.65,0,333.06,0,0,212.9,982.5899999999999,0,511.65,0,915.9100000000001,0,0,320.35
199001039,1039,AL,Covington,36519,594.45,59.97,1159.63,NA,1697.31,0,0,441.06,224.57,65.46,432.42,0,539.6,0,0,207.55,819.02,125.42999999999999,1592.0500000000002,0,2236.91,0,0,442.06
199001041,1041,AL,Crenshaw,13598,412.77,NA,NA,NA,1117.59,0,0,178.89,131.12,0,328.37,0,233.24,0,0,133.36,543.89,0,328.37,0,1350.83,0,0,179.89
