yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
201501001,1001,AL,Autauga,54838,601.07,71.02,1146.26,NA,1519.8,NA,NA,387.82,457.04,136.57,713.6,0,669.27,212.77,528.66,278.06,1058.1100000000001,207.58999999999997,1859.8600000000001,0,2189.0699999999997,212.77,528.66,665.88
201501003,1003,AL,Baldwin,202995,708.59,128.96,1314.63,0,2617.4,0,0,520.85,543.01,113.6,765.66,359.71,577.37,1274.73,202.63,372.04,1251.6,242.56,2080.29,359.71,3194.77,1274.73,202.63,892.8900000000001
201501005,1005,AL,Barbour,26294,971.9,54.19,1670.45,0,1520.78,0,0,457.16,649.88,108.37,948.65,0,116.09,1212.12,6777.78,1071.06,1621.78,162.56,2619.1,0,1636.87,1212.12,6777.78,1528.22
201501007,1007,AL,Bibb,22562,384.82,NA,NA,NA,NA,NA,NA,NA,489.17,178.12,849.33,0,630.91,1409.09,0,551.74,873.99,178.12,849.33,0,630.91,1409.09,0,551.74
201501009,1009,AL,Blount,57522,315.39,77.33,550.17,NA,1311.48,NA,NA,324.28,367.5,82.85,539.27,0,1803.28,318.37,0,311.93,682.89,160.18,1089.44,0,3114.76,318.37,0,636.21
201501011,1011,AL,Bullock,10400,712.66,NA,NA,NA,NA,NA,NA,NA,456.1,942.13,469.83,0,478.09,0,0,66.58,1168.76,942.13,469.83,0,478.09,0,0,66.58
201501013,1013,AL,Butler,20176,1288.84,206.46,2540.06,NA,2078.68,NA,NA,638.03,608.84,103.23,750.09,0,1151,662.25,0,420.17,1897.6799999999998,309.69,3290.15,0,3229.68,662.25,0,1058.2
201501015,1015,AL,Calhoun,115536,1057.17,185.44,1973.36,0,2370.01,0,0,730.96,653.31,193.17,1291.21,208.09,1253.66,592.89,0,540.98,1710.48,378.61,3264.5699999999997,208.09,3623.67,592.89,0,1271.94
201501017,1017,AL,Chambers,34007,932.35,89.96,1811.02,NA,1510.14,NA,NA,545.39,684.33,89.96,1088.49,0,760.58,249.38,0,528.61,1616.68,179.92,2899.51,0,2270.7200000000003,249.38,0,1074
201501019,1019,AL,Cherokee,25739,775.73,240.38,1299.34,0,1419.35,0,0,761.1,781.98,227.73,1262.22,0,1161.29,881.06,0,734.16,1557.71,468.11,2561.56,0,2580.64,881.06,0,1495.26
201501021,1021,AL,Chilton,43717,658.06,156.27,1161.38,0,1476.01,0,0,618.23,604.7,255.72,869.26,418.92,939.28,192.68,0,552.46,1262.76,411.99,2030.64,418.92,2415.29,192.68,0,1170.69
201501023,1023,AL,Choctaw,13233,829.37,186.35,1536.1,NA,1272.12,NA,NA,467.29,329.31,46.59,537.63,0,248.89,724.14,0,178.02,1158.68,232.94,2073.73,0,1521.0099999999998,724.14,0,645.3100000000001
201501025,1025,AL,Clarke,24703,1024.43,157.69,1980.73,NA,1751.29,NA,NA,387.55,1278.95,84.91,2609.74,0,1696.99,1469.48,2651.52,962.62,2303.38,242.6,4590.469999999999,0,3448.2799999999997,1469.48,2651.52,1350.17
201501027,1027,AL,Clay,13413,1057.33,93.15,2038.88,NA,2983.93,NA,NA,730.57,1116.07,349.32,2536.75,0,1759.76,680.27,0,978.96,2173.3999999999996,442.47,4575.63,0,4743.69,680.27,0,1709.5300000000002
201501029,1029,AL,Cleburne,14917,835.3,213.27,1462.68,NA,2507.84,NA,NA,788.48,749.63,213.27,1053.99,0,2821.32,930.23,0,548.51,1584.9299999999998,426.54,2516.67,0,5329.16,930.23,0,1336.99
201501031,1031,AL,Coffee,50952,626.01,48.86,1197.53,NA,2081.61,NA,NA,329.74,388.97,97.72,622.96,126.4,1139.93,142.52,196.16,198.69,1014.98,146.57999999999998,1820.49,126.4,3221.54,142.52,196.16,528.4300000000001
201501033,1033,AL,Colbert,54370,790.04,146.61,1468.4,NA,1678.54,NA,NA,630.58,312.55,101.5,546.94,0,966.43,717.01,0,222.34,1102.59,248.11,2015.3400000000001,0,2644.97,717.01,0,852.9200000000001
201501035,1035,AL,Conecuh,12680,556.2,101.01,1034.21,0,827.11,0,0,317.21,465.66,353.54,2519.23,0,586.98,0,0,422.94,1021.8600000000001,454.55,3553.44,0,1414.0900000000001,0,0,740.15
201501037,1037,AL,Coosa,10938,1296.32,174.88,2345.88,0,1764.96,0,0,1116.71,648.16,233.17,1091.11,0,904,675,0,591.2,1944.48,408.04999999999995,3436.99,0,2668.96,675,0,1707.91
