yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
198201001,1001,AL,Autauga,32038,NA,NA,NA,NA,NA,NA,NA,NA,143.34,0,294.09,NA,NA,NA,NA,NA,143.34,0,294.09,0,0,0,0,0
198201003,1003,AL,Baldwin,82330,NA,NA,NA,NA,NA,NA,NA,NA,200.98,13.52,397.79,NA,NA,NA,NA,NA,200.98,13.52,397.79,0,0,0,0,0
198201005,1005,AL,Barbour,24775,NA,NA,NA,NA,NA,NA,NA,NA,248.08,12.51,525.05,NA,NA,NA,NA,NA,248.08,12.51,525.05,0,0,0,0,0
198201007,1007,AL,Bibb,16017,NA,NA,NA,NA,NA,NA,NA,NA,127.67,0,259.05,NA,NA,NA,NA,NA,127.67,0,259.05,0,0,0,0,0
198201009,1009,AL,Blount,36356,NA,NA,NA,NA,NA,NA,NA,NA,83.18,25.33,165.54,NA,NA,NA,NA,NA,83.18,25.33,165.54,0,0,0,0,0
198201011,1011,AL,Bullock,10639,NA,NA,NA,NA,NA,NA,NA,NA,214.81,12.34,440.92,NA,NA,NA,NA,NA,214.81,12.34,440.92,0,0,0,0,0
198201013,1013,AL,Butler,22399,NA,NA,NA,NA,NA,NA,NA,NA,164.3,20.61,341.38,NA,NA,NA,NA,NA,164.3,20.61,341.38,0,0,0,0,0
198201015,1015,AL,Calhoun,122114,NA,NA,NA,NA,NA,NA,NA,NA,120.62,20.71,222.12,NA,NA,NA,NA,NA,120.62,20.71,222.12,0,0,0,0,0
198201017,1017,AL,Chambers,39337,NA,NA,NA,NA,NA,NA,NA,NA,288.78,65.59,603.79,NA,NA,NA,NA,NA,288.78,65.59,603.79,0,0,0,0,0
198201019,1019,AL,Cherokee,19529,NA,NA,NA,NA,NA,NA,NA,NA,136.05,0,274.63,NA,NA,NA,NA,NA,136.05,0,274.63,0,0,0,0,0
198201021,1021,AL,Chilton,30362,NA,NA,NA,NA,NA,NA,NA,NA,308.7,22.01,623.94,NA,NA,NA,NA,NA,308.7,22.01,623.94,0,0,0,0,0
198201023,1023,AL,Choctaw,16371,NA,NA,NA,NA,NA,NA,NA,NA,303.28,0,643.94,NA,NA,NA,NA,NA,303.28,0,643.94,0,0,0,0,0
198201025,1025,AL,Clarke,27946,NA,NA,NA,NA,NA,NA,NA,NA,191.58,0,404.23,NA,NA,NA,NA,NA,191.58,0,404.23,0,0,0,0,0
198201027,1027,AL,Clay,13765,NA,NA,NA,NA,NA,NA,NA,NA,242.68,13.18,499.76,NA,NA,NA,NA,NA,242.68,13.18,499.76,0,0,0,0,0
198201029,1029,AL,Cleburne,12875,NA,NA,NA,NA,NA,NA,NA,NA,172.46,0,349.15,NA,NA,NA,NA,NA,172.46,0,349.15,0,0,0,0,0
198201031,1031,AL,Coffee,39837,NA,NA,NA,NA,NA,NA,NA,NA,163.23,1.51,340.58,NA,NA,NA,NA,NA,163.23,1.51,340.58,0,0,0,0,0
198201033,1033,AL,Colbert,54073,NA,NA,NA,NA,NA,NA,NA,NA,75.32,0,155.59,NA,NA,NA,NA,NA,75.32,0,155.59,0,0,0,0,0
198201035,1035,AL,Conecuh,15526,NA,NA,NA,NA,NA,NA,NA,NA,187.51,16.84,370.96,NA,NA,NA,NA,NA,187.51,16.84,370.96,0,0,0,0,0
198201037,1037,AL,Coosa,11332,NA,NA,NA,NA,NA,NA,NA,NA,274.55,22.36,556.19,NA,NA,NA,NA,NA,274.55,22.36,556.19,0,0,0,0,0
198201039,1039,AL,Covington,36777,NA,NA,NA,NA,NA,NA,NA,NA,191.6,1.69,394.36,NA,NA,NA,NA,NA,191.6,1.69,394.36,0,0,0,0,0
198201041,1041,AL,Crenshaw,13996,NA,NA,NA,NA,NA,NA,NA,NA,174.29,0,362.46,NA,NA,NA,NA,NA,174.29,0,362.46,0,0,0,0,0
198201043,1043,AL,Cullman,62384,NA,NA,NA,NA,NA,NA,NA,NA,189.68,20.6,364,NA,NA,NA,NA,NA,189.68,20.6,364,0,0,0,0,0
198201045,1045,AL,Dale,48501,NA,NA,NA,NA,NA,NA,NA,NA,155.17,23.49,295.81,NA,NA,NA,NA,NA,155.17,23.49,295.81,0,0,0,0,0
198201047,1047,AL,Dallas,53950,NA,NA,NA,NA,NA,NA,NA,NA,291.42,26.11,680.29,NA,NA,NA,NA,NA,291.42,26.11,680.29,0,0,0,0,0
