yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
198601001,1001,AL,Autauga,32895,296.26,45.16,560.2,NA,NA,NA,NA,NA,136.09,7.23,237.37,NA,NA,NA,NA,NA,432.35,52.39,797.57,0,0,0,0,NA
198601003,1003,AL,Baldwin,91308,383,43.76,739.74,NA,NA,NA,NA,NA,134.72,17.87,257.6,NA,NA,NA,NA,NA,517.72,61.629999999999995,997.34,0,0,0,0,NA
198601005,1005,AL,Barbour,24942,385.8,62.52,740.13,NA,NA,NA,NA,NA,143.86,0,301.54,NA,NA,NA,NA,NA,529.6600000000001,62.52,1041.67,0,0,0,0,NA
198601007,1007,AL,Bibb,15919,278.63,NA,NA,NA,NA,NA,NA,NA,99.51,19.76,180.43,NA,NA,NA,NA,NA,378.14,19.76,180.43,0,0,0,0,NA
198601009,1009,AL,Blount,37996,208.27,NA,NA,NA,NA,NA,NA,NA,119.35,39.93,171.94,NA,NA,NA,NA,NA,327.62,39.93,171.94,0,0,0,0,NA
198601011,1011,AL,Bullock,10458,392.99,0,802.68,NA,NA,NA,NA,NA,137.55,25.67,254.18,NA,NA,NA,NA,NA,530.54,25.67,1056.86,0,0,0,0,NA
198601013,1013,AL,Butler,22340,350.5,NA,NA,NA,NA,NA,NA,NA,289.55,14.46,595.81,NA,NA,NA,NA,NA,640.05,14.46,595.81,0,0,0,0,NA
198601015,1015,AL,Calhoun,117699,336.93,34.82,645.75,NA,NA,NA,NA,NA,160.67,25.87,298.47,NA,NA,NA,NA,NA,497.6,60.69,944.22,0,0,0,0,NA
198601017,1017,AL,Chambers,37982,280.98,NA,NA,NA,NA,NA,NA,NA,332.07,16.33,675.98,NA,NA,NA,NA,NA,613.05,16.33,675.98,0,0,0,0,NA
198601019,1019,AL,Cherokee,18985,192.91,0,388.35,NA,NA,NA,NA,NA,155.94,19.17,323.62,NA,NA,NA,NA,NA,348.85,19.17,711.97,0,0,0,0,NA
198601021,1021,AL,Chilton,31923,249.79,NA,NA,NA,NA,NA,NA,NA,161.63,0,326.93,NA,NA,NA,NA,NA,411.41999999999996,0,326.93,0,0,0,0,NA
198601023,1023,AL,Choctaw,16728,328.63,NA,NA,NA,NA,NA,NA,NA,212.64,0,411.29,NA,NA,NA,NA,NA,541.27,0,411.29,0,0,0,0,NA
198601025,1025,AL,Clarke,27362,373.02,NA,NA,NA,NA,NA,NA,NA,128.49,11.43,262.87,NA,NA,NA,NA,NA,501.51,11.43,262.87,0,0,0,0,NA
