yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
200901001,1001,AL,Autauga,54135,629.84,119.9,1163.45,0,1744.27,0,0,396.32,437.55,136.25,724.31,0,879.72,263.16,602.65,278.49,1067.39,256.15,1887.76,0,2623.99,263.16,602.65,674.81
200901003,1003,AL,Baldwin,179406,714.74,92.11,1358.91,NA,2962.19,NA,NA,497,629.49,141.58,1025.01,188.5,2156.3,353.54,242.21,432.56,1344.23,233.69,2383.92,188.5,5118.49,353.54,242.21,929.56
200901005,1005,AL,Barbour,27657,1168.97,95.97,2022.13,0,1953.86,0,0,495.45,526.04,95.97,877.53,0,469.15,645.16,6421.05,593.39,1695.01,191.94,2899.66,0,2423.0099999999998,645.16,6421.05,1088.84
200901007,1007,AL,Bibb,22941,621.2,57.48,1066.12,0,1041.67,0,0,501.86,412.02,146.57,800.73,0,664.06,2094.16,0,385.05,1033.22,204.04999999999998,1866.85,0,1705.73,2094.16,0,886.9100000000001
200901009,1009,AL,Blount,57341,481.28,69.93,887.83,0,2402.96,0,0,495.17,323.53,80.69,526.32,0,1201.48,231.07,0,311.33,804.81,150.62,1414.15,0,3604.44,231.07,0,806.5
200901011,1011,AL,Bullock,10987,1188.89,156.69,1955.76,0,1552.44,0,0,420.17,442.69,877.47,442.37,0,634.23,0,0,150.06,1631.5800000000002,1034.16,2398.13,0,2186.67,0,0,570.23
200901013,1013,AL,Butler,20867,968.6,85.87,1958.9,0,1633.14,0,0,463.03,435.64,100.19,706.49,0,885.34,427.35,0,294.65,1404.24,186.06,2665.3900000000003,0,2518.48,427.35,0,757.68
200901015,1015,AL,Calhoun,118363,1007.61,116.15,1938.97,0,2461.34,0,0,649.89,578.94,203.14,1111.74,212.44,1354.62,520.84,0,459.04,1586.5500000000002,319.28999999999996,3050.71,212.44,3815.96,520.84,0,1108.93
200901017,1017,AL,Chambers,34384,946.4,87.32,1853.73,0,1782.13,0,0,397.75,625.7,87.32,1069.81,0,852.08,300.88,0,409.45,1572.1,174.64,2923.54,0,2634.21,300.88,0,807.2
200901019,1019,AL,Cherokee,25854,471.53,97.16,833.33,0,1376.15,0,0,429.98,477.5,157.88,845.07,0,1720.18,2777.78,0,417.15,949.03,255.04,1678.4,0,3096.33,2777.78,0,847.13
200901021,1021,AL,Chilton,43484,692.86,189.94,1190.64,0,2721.09,0,0,518.07,612.38,147.73,1079.24,0,1181.53,542.41,0,560.53,1305.24,337.66999999999996,2269.88,0,3902.62,542.41,0,1078.6
200901023,1023,AL,Choctaw,13976,665.76,NA,NA,NA,NA,NA,NA,NA,321.6,43.81,488.71,0,248.02,1111.11,0,210.13,987.36,43.81,488.71,0,248.02,1111.11,0,210.13
200901025,1025,AL,Clarke,26038,855.31,148.91,1627.24,0,1421.24,0,0,396.2,532.33,171.82,1063.96,0,1039.61,952.1,1328.12,237.72,1387.6399999999999,320.73,2691.2,0,2460.85,952.1,1328.12,633.92
200901027,1027,AL,Clay,14006,940.23,NA,NA,NA,NA,NA,NA,NA,1101.75,331.93,2423.56,0,2451.66,553.51,0,978.2,2041.98,331.93,2423.56,0,2451.66,553.51,0,978.2
200901029,1029,AL,Cleburne,14918,1071.61,187.58,1936.01,NA,6079.03,NA,NA,910.69,763.94,245.94,1304.26,0,3191.49,1173.71,0,658.33,1835.55,433.52,3240.27,0,9270.52,1173.71,0,1569.02
200901031,1031,AL,Coffee,49440,853.2,86.82,1609.55,NA,3157.71,NA,NA,405.98,455.86,111.62,722.15,0,1117.62,680.63,0,251.12,1309.06,198.44,2331.7,0,4275.33,680.63,0,657.1
200901033,1033,AL,Colbert,54426,664.72,88.56,1272.18,0,1617.57,0,0,490.94,312.67,99.63,536.88,0,970.54,874.43,0,201.32,977.3900000000001,188.19,1809.06,0,2588.1099999999997,874.43,0,692.26
200901035,1035,AL,Conecuh,13274,947.98,92.92,1838.41,0,1520.14,0,0,462.11,865.03,325.2,2298.02,0,1076.77,0,0,716.27,1813.01,418.12,4136.43,0,2596.91,0,0,1178.38
200901037,1037,AL,Coosa,11410,1240.43,105.65,2373.42,0,1981.83,0,0,926.11,890.74,396.2,1845.99,0,2023.12,1081.63,0,724.78,2131.17,501.85,4219.41,0,4004.95,1081.63,0,1650.8899999999999
200901039,1039,AL,Covington,37648,1589.64,265.85,2946.69,0,4954.37,0,0,1120.31,811.05,307.39,1260.43,0,1691.98,3198.61,0,625.79,2400.69,573.24,4207.12,0,6646.35,3198.61,0,1746.1
200901041,1041,AL,Crenshaw,14024,540.84,130.43,964.13,0,903.34,0,0,444.24,496.69,108.7,1121.08,0,1490.51,735.29,0,321.69,1037.53,239.13,2085.21,0,2393.85,735.29,0,765.9300000000001
200901043,1043,AL,Cullman,80351,625.42,150.55,1091.74,0,2134.65,0,0,640.19,506.57,177.57,704.32,0,4433.5,362.32,158.23,390.43,1131.99,328.12,1796.06,0,6568.15,362.32,158.23,1030.6200000000001
200901045,1045,AL,Dale,49854,683.64,135.53,1221.8,NA,1936.57,NA,NA,404.72,193.58,43.12,326.62,0,495.58,57.11,0,122.26,877.22,178.65,1548.42,0,2432.15,57.11,0,526.98
200901047,1047,AL,Dallas,43759,982.59,105.52,2011.45,0,1262.33,0,0,355.78,631.17,26.38,1214.61,0,720.6,529.1,0,435.53,1613.76,131.9,3226.06,0,1982.9299999999998,529.1,0,791.31
200901049,1049,AL,DeKalb,70864,414.76,92.23,733.51,0,2953.02,0,0,432.89,393.08,52.7,499.13,0,1409.4,547,0,383.18,807.8399999999999,144.93,1232.6399999999999,0,4362.42,547,0,816.0699999999999
200901051,1051,AL,Elmore,78632,574.37,76.24,1090.23,0,1652.61,0,0,294.15,574.91,127.06,853.38,0,1123.26,888.97,0,300.99,1149.28,203.3,1943.6100000000001,0,2775.87,888.97,0,595.14
200901053,1053,AL,Escambia,38249,750.75,128.82,1280.74,NA,1413.43,NA,NA,443.63,701.36,120.23,944.09,0,1166.08,306.12,156.63,411.01,1452.1100000000001,249.05,2224.83,0,2579.51,306.12,156.63,854.64
200901055,1055,AL,Etowah,104239,1406.94,248.92,2599.73,0,4021.12,0,0,962.51,1288.19,234.45,2098.86,5102.04,1074.77,10350.57,0,549.22,2695.13,483.37,4698.59,5102.04,5095.889999999999,10350.57,0,1511.73
200901057,1057,AL,Fayette,17310,1061.8,271.59,1855.9,0,2103.68,0,0,937.24,844,217.27,1455.6,0,3305.79,897.81,0,505.48,1905.8,488.86,3311.5,0,5409.469999999999,897.81,0,1442.72
