yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
201601001,1001,AL,Autauga,55242,502.84,81.34,935.78,NA,1182.23,NA,NA,339.78,453.38,135.57,707.4,0,652.26,205.13,532.05,277.67,956.22,216.91,1643.1799999999998,0,1834.49,205.13,532.05,617.45
201601003,1003,AL,Baldwin,207712,618.44,78.14,1186.51,0,2281.6,0,0,458.76,485.97,142.75,731.5,165.29,1186.74,423.95,196.53,345.92,1104.41,220.89,1918.01,165.29,3468.34,423.95,196.53,804.6800000000001
201601005,1005,AL,Barbour,25819,902.36,NA,NA,NA,NA,NA,NA,NA,667.75,110.24,982.28,0,119.9,1190.48,5545.45,1100.23,1570.1100000000001,110.24,982.28,0,119.9,1190.48,5545.45,1100.23
201601007,1007,AL,Bibb,22576,341.14,NA,NA,NA,NA,NA,NA,NA,485.47,119.08,715.54,0,348.99,1033.59,0,471.27,826.61,119.08,715.54,0,348.99,1033.59,0,471.27
201601009,1009,AL,Blount,57517,288.89,60.91,514.05,NA,1206.9,NA,NA,301.24,368.68,83.06,541.4,0,1896.55,306.94,0,313.66,657.5699999999999,143.97,1055.4499999999998,0,3103.45,306.94,0,614.9000000000001
201601011,1011,AL,Bullock,10381,590.35,0,1018.38,NA,790.11,NA,NA,NA,460.76,959.23,471.93,0,486.22,0,0,66.4,1051.1100000000001,959.23,1490.31,0,1276.33,0,0,66.4
201601013,1013,AL,Butler,20029,1203.18,238.52,2326.79,0,2084.42,0,0,476.95,617.63,104.35,764.02,0,1163.8,649.35,0,429.25,1820.81,342.87,3090.81,0,3248.2200000000003,649.35,0,906.2
201601015,1015,AL,Calhoun,115018,1005.94,150.99,1904.61,0,2198.73,0,0,714.85,663.06,195.25,1308.05,198.9,1268.5,579.82,0,549.88,1669,346.24,3212.66,198.9,3467.23,579.82,0,1264.73
201601017,1017,AL,Chambers,33771,928.2,208.41,1683.95,0,1294.21,0,0,714.47,691.51,90.61,1103.61,0,769.83,235.85,0,535.85,1619.71,299.02,2787.56,0,2064.04,235.85,0,1250.3200000000002
201601019,1019,AL,Cherokee,25776,683.34,239.6,1122.05,0,1441.68,0,0,661.36,783.65,226.99,1271.66,0,1179.55,865.8,0,735.59,1466.99,466.59000000000003,2393.71,0,2621.23,865.8,0,1396.95
